	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S01\WOW\S01_WOW-A-R_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S01\WOW\S01_WOW-A-R_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S01\WOW\S01_WOW-A-R_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S01\WOW\S01_WOW-A-R_G_02.c3d
	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	X	X	X
1	139.021805	139.526352	140.915863	139.561768
2	140.362671	140.800720	142.081345	140.788040
3	141.685501	142.223740	143.048050	141.978088
4	142.820755	143.593231	143.752609	142.997040
5	143.664154	144.714676	144.206192	143.765137
6	144.202499	145.485504	144.460434	144.274841
7	144.489197	145.917511	144.576935	144.572586
8	144.599869	146.087997	144.617523	144.723587
9	144.600662	146.076080	144.634720	144.787140
10	144.538193	145.935867	144.660706	144.806900
11	144.442307	145.702301	144.704330	144.808273
12	144.330109	145.403076	144.759018	144.799805
13	144.211655	145.070282	144.812744	144.780579
14	144.099609	144.751190	144.859024	144.749252
15	144.016571	144.496323	144.904404	144.710587
16	143.985550	144.327896	144.965347	144.678528
17	144.010239	144.235092	145.053589	144.668518
18	144.072784	144.195602	145.164322	144.683258
19	144.148712	144.190430	145.281830	144.710449
20	144.218323	144.205734	145.390411	144.734756
21	144.267227	144.231155	145.478531	144.745575
22	144.283157	144.258377	145.536087	144.736649
23	144.256119	144.279312	145.552963	144.701157
24	144.179855	144.283859	145.520691	144.630508
25	144.052567	144.261124	145.435974	144.518005
26	143.876373	144.203278	145.302673	144.361938
27	143.657364	144.105881	145.129898	144.165863
28	143.405807	143.968063	144.931686	143.939468
29	143.134659	143.795074	144.725159	143.697983
30	142.857819	143.597778	144.526550	143.458038
31	142.586578	143.390030	144.346039	143.233459
32	142.327881	143.185074	144.187546	143.034775
33	142.086151	142.991241	144.050049	142.868866
34	141.864349	142.809784	143.929321	142.736618
35	141.659851	142.636795	143.819122	142.632706
36	141.464981	142.466125	143.712646	142.548813
37	141.270721	142.291611	143.604111	142.476471
38	141.069244	142.108765	143.489075	142.406677
39	140.854645	141.914230	143.364716	142.329681
40	140.624695	141.704330	143.229065	142.236542
41	140.381332	141.474182	143.081757	142.118881
42	140.129959	141.221008	142.923096	141.970657
43	139.876938	140.948761	142.753052	141.791092
44	139.627472	140.668045	142.571167	141.583817
45	139.385117	140.392136	142.377151	141.355865
46	139.151230	140.136032	142.171204	141.119614
47	138.925705	139.915909	141.954834	140.892166
48	138.707840	139.747070	141.730576	140.687576
49	138.499710	139.640686	141.502121	140.512741
50	138.307526	139.602798	141.276047	140.364761
51	138.134781	139.633392	141.065781	140.224731
52	137.970993	139.714188	140.891403	140.063904
53	137.790253	139.793991	140.774963	139.859558
54	137.564285	139.791031	140.722198	139.595139
55	137.274338	139.607269	140.688095	139.252426
56	136.917587	139.171951	140.582748	138.812805
57	136.510788	138.517395	140.327225	138.288788
58	136.085754	137.778290	139.902939	137.741760
59	135.678665	137.086517	139.367294	137.240051
60	135.322205	136.496490	138.817627	136.819794
61	135.030746	135.995422	138.329269	136.483948
62	134.796265	135.549744	137.927902	136.213593
63	134.603622	135.140091	137.599411	135.981583
64	134.440689	134.761703	137.315491	135.766647
65	134.304153	134.412109	137.057541	135.556808
66	134.194839	134.088394	136.818817	135.346008
67	134.112106	133.787064	136.595612	135.132629
68	134.051819	133.505997	136.384567	134.917740
69	134.003632	133.244247	136.182693	134.704193
70	133.954834	133.000870	135.987732	134.493240
71	133.894043	132.773895	135.797348	134.284821
72	133.812943	132.559769	135.610764	134.078110
73	133.708038	132.354446	135.426910	133.872757
74	133.580704	132.154495	135.245407	133.668747
75	133.435257	131.958633	135.064743	133.466522
76	133.276947	131.767258	134.883575	133.266998
77	133.110413	131.579880	134.701248	133.070526
78	132.939453	131.395676	134.518433	132.877228
79	132.766937	131.213684	134.336899	132.687759
80	132.594635	131.033829	134.158615	132.502563
81	132.423584	130.854889	133.983063	132.321182
82	132.253494	130.673019	133.806931	132.141479
83	132.083618	130.480988	133.627014	131.958664
84	131.914139	130.269852	133.439514	131.767014
85	131.745468	130.036041	133.241394	131.559647
86	131.577423	129.784836	133.029922	131.329666
87	131.408859	129.522064	132.801743	131.069672
88	131.237717	129.244293	132.553101	130.774231
89	131.060074	128.939880	132.279922	130.440308
90	130.869308	128.596802	131.977493	130.069229
91	130.656631	128.208221	131.641586	129.666611
92	130.413452	127.773544	131.269913	129.241989
93	130.133759	127.300491	130.863892	128.809891
94	129.816269	126.806114	130.431671	128.390472
95	129.464462	126.315765	129.988937	128.007324
96	129.088181	125.859283	129.558212	127.682915
97	128.705521	125.465683	129.165695	127.435043
98	128.344406	125.158875	128.838058	127.275063
99	128.038635	124.959190	128.598633	127.207581
100	127.820763	124.884956	128.464020	127.230995
101	127.714745	124.947914	128.442261	127.342087
