	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S02\WW\S02_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S02\WW\S02_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S02\WW\S02_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S02\WW\S02_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S02\WW\S02_WW-L-0_G_01.c3d
	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y
1	-1.635676	-2.268623	-1.672888	-2.178367	-1.646780
2	-2.490129	-3.122839	-2.584240	-2.966585	-2.518798
3	-3.111875	-3.740776	-3.226947	-3.522884	-3.092680
4	-3.515006	-4.148004	-3.627123	-3.883537	-3.423377
5	-3.727889	-4.385463	-3.840478	-4.101861	-3.585136
6	-3.798992	-4.495102	-3.927664	-4.226631	-3.638611
7	-3.776346	-4.518435	-3.931744	-4.291315	-3.628184
8	-3.697996	-4.482080	-3.895169	-4.314853	-3.579186
9	-3.590179	-4.401279	-3.838512	-4.308377	-3.506231
10	-3.470042	-4.285993	-3.776425	-4.280152	-3.420028
11	-3.353201	-4.146985	-3.716552	-4.237266	-3.329027
12	-3.251497	-3.997611	-3.660930	-4.186553	-3.239157
13	-3.171715	-3.852156	-3.607728	-4.134605	-3.154056
14	-3.115713	-3.723366	-3.554579	-4.086734	-3.076294
15	-3.081437	-3.621206	-3.500736	-4.046823	-3.008446
16	-3.064630	-3.550934	-3.447413	-4.017833	-2.953152
17	-3.060508	-3.509585	-3.397934	-4.001098	-2.912887
18	-3.065505	-3.488438	-3.357666	-3.995263	-2.889779
19	-3.078099	-3.479149	-3.330594	-3.996345	-2.884521
20	-3.098181	-3.478183	-3.315245	-3.999252	-2.895607
21	-3.124082	-3.488775	-3.306648	-3.998900	-2.920120
22	-3.151779	-3.518825	-3.299919	-3.991462	-2.954478
23	-3.178406	-3.577040	-3.292447	-3.977088	-2.994642
24	-3.203826	-3.668745	-3.285686	-3.959383	-3.035900
25	-3.228015	-3.790485	-3.285780	-3.942011	-3.073609
26	-3.247505	-3.925008	-3.299408	-3.928298	-3.103983
27	-3.256829	-4.045219	-3.326846	-3.922633	-3.124978
28	-3.252772	-4.135777	-3.361567	-3.927311	-3.136335
29	-3.234649	-4.168447	-3.393295	-3.938962	-3.138641
30	-3.203279	-4.123183	-3.409186	-3.951336	-3.134983
31	-3.161025	-4.004487	-3.398817	-3.960053	-3.132536
32	-3.113310	-3.837981	-3.360657	-3.963939	-3.139148
33	-3.067431	-3.664138	-3.302594	-3.964273	-3.156676
34	-3.028801	-3.505563	-3.236417	-3.964081	-3.181308
35	-2.999033	-3.382134	-3.172977	-3.968280	-3.209783
36	-2.975777	-3.302351	-3.120805	-3.982910	-3.242176
37	-2.954602	-3.267709	-3.082853	-4.011645	-3.279462
38	-2.932777	-3.270105	-3.055934	-4.053162	-3.320782
39	-2.910321	-3.295254	-3.034887	-4.102826	-3.363438
40	-2.889162	-3.328948	-3.015667	-4.154455	-3.403455
41	-2.871805	-3.360167	-2.995927	-4.200334	-3.436174
42	-2.857046	-3.380816	-2.972984	-4.231707	-3.457914
43	-2.839479	-3.383918	-2.943089	-4.240219	-3.466461
44	-2.814617	-3.364381	-2.902963	-4.218659	-3.459569
45	-2.785067	-3.325484	-2.849366	-4.164557	-3.435122
46	-2.761564	-3.277880	-2.778738	-4.081887	-3.397411
47	-2.761998	-3.247079	-2.691029	-3.992494	-3.361819
48	-2.792130	-3.249463	-2.597999	-3.920777	-3.353860
49	-2.848370	-3.282422	-2.516198	-3.883926	-3.376103
50	-2.931193	-3.340588	-2.472172	-3.887848	-3.433096
51	-3.034364	-3.425183	-2.477959	-3.935131	-3.521455
52	-3.141565	-3.527265	-2.533551	-4.016315	-3.622275
53	-3.234694	-3.624938	-2.632779	-4.108533	-3.714195
