	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\B\S03_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\B\S03_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\B\S03_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\B\S03_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\B\S03_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-P-0_G_01.c3d
	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	146.550064	146.640472	146.755722	146.455734	147.793701	155.391525	156.212097	156.010498	155.770889	156.006485	157.606979	158.226898	157.964401	157.985474	157.866180	160.899033	160.435760	159.736359	159.409866	160.077103	160.734375	160.880417	160.202591	160.912598	160.985779	160.569122	161.209915	161.299026	160.890976	161.207108	158.400955	157.826675	159.038437	157.874939	157.675339	158.559769	158.629791	157.980362	159.004196	158.063477	150.830185	150.849854	152.482574	150.903854	151.745453	151.823441	151.895294	151.986847	152.184601	152.045334	156.556580	155.740646	155.406342	155.857193	155.447693	152.540253	152.913620	152.633331	152.720673	152.770752
2	147.063431	147.186646	147.358292	146.848984	148.287628	156.074295	156.434555	156.292297	156.118958	156.113419	157.946060	158.230408	157.814026	158.263275	158.549011	160.824768	160.419205	159.593231	159.323578	159.907074	160.397018	160.620453	159.811066	160.655838	160.900375	160.524170	161.237747	161.185608	160.996109	161.364197	158.201202	157.743881	158.851273	157.603180	157.641907	158.383545	158.487732	157.810944	158.704910	157.604324	151.039062	150.908752	152.582108	151.059647	151.764496	152.279587	152.112030	152.269852	152.831711	152.214462	157.190247	156.102264	156.023331	156.157639	155.884125	152.748199	152.902771	152.654190	152.919342	152.748535
3	147.294846	147.380157	147.706314	146.924683	148.392258	156.440598	156.479965	156.628189	156.459503	156.184692	158.315872	158.207901	157.849014	158.450089	158.942413	160.676132	160.536758	159.660934	159.491867	159.839417	160.212692	160.563065	159.719681	160.624374	160.956436	160.804642	161.442947	161.298325	161.190491	161.598465	158.075211	157.679840	158.666733	157.543854	157.762497	158.391052	158.432312	157.967453	158.536697	157.426788	151.247589	151.130051	152.641434	151.245163	151.889084	152.561691	152.191376	152.464279	153.225601	152.338196	157.506424	156.357056	156.350998	156.298889	156.180527	152.921463	152.868362	152.762955	153.044464	152.706085
4	147.381088	147.402298	147.968231	146.868698	148.309204	156.668045	156.637207	157.038971	156.852386	156.297363	158.697922	158.266113	158.073181	158.665176	159.147491	160.612167	160.807632	159.929138	159.841125	159.936356	160.231659	160.717392	159.872009	160.782013	161.159042	161.264923	161.769943	161.584915	161.454178	161.872299	158.111710	157.739868	158.558350	157.693161	157.956589	158.596634	158.513397	158.321045	158.606064	157.538147	151.382126	151.381653	152.701370	151.325577	152.035736	152.741837	152.238754	152.624863	153.349792	152.407745	157.469391	156.551224	156.376511	156.311996	156.323486	153.033005	152.786804	152.912277	153.147293	152.678116
5	147.492264	147.428589	148.192963	146.814850	148.251129	156.863571	156.937698	157.553085	157.231750	156.436295	159.076279	158.446304	158.345383	158.879745	159.276413	160.700790	161.135117	160.263229	160.273956	160.144363	160.361908	160.978745	160.105164	160.993988	161.434662	161.699081	162.085190	161.888824	161.710968	162.102875	158.299469	157.943634	158.475311	157.931580	158.096588	158.866409	158.640701	158.692963	158.792053	157.812714	151.373703	151.542450	152.694901	151.233795	152.095718	152.775391	152.258926	152.720474	153.189377	152.359634	157.174683	156.689056	156.141830	156.202820	156.324326	153.064224	152.652786	153.007492	153.221390	152.634766
6	147.616791	147.449371	148.231125	146.773712	148.197250	157.069855	157.248856	158.122192	157.556610	156.573151	159.445129	158.712448	158.584335	159.064789	159.354538	160.911316	161.435181	160.554276	160.719162	160.383484	160.533173	161.259857	160.316467	161.141434	161.696579	161.996155	162.323685	162.128723	161.886841	162.264572	158.582809	158.231720	158.403839	158.204651	158.167542	159.091217	158.744293	158.988861	158.971481	158.159119	151.238464	151.550934	152.567230	151.032730	152.024597	152.601654	152.194244	152.702972	152.832016	152.165085	156.751236	156.724670	155.772415	155.981964	156.196548	153.022171	152.502457	152.972351	153.217438	152.517532
7	147.699677	147.437378	147.974991	146.750214	148.071838	157.310684	157.485504	158.672119	157.808807	156.709122	159.790298	159.003708	158.787949	159.239090	159.399124	161.147263	161.684952	160.757278	161.112701	160.601639	160.768127	161.544937	160.499924	161.224655	161.927765	162.178589	162.506668	162.295166	161.981476	162.392929	158.889893	158.535233	158.390991	158.508820	158.215302	159.229630	158.826416	159.182022	159.129288	158.527405	151.045639	151.423157	152.340973	150.796112	151.860687	152.265717	152.000153	152.561478	152.393906	151.869995	156.258026	156.612274	155.365753	155.688324	155.980286	152.892273	152.358093	152.810898	153.108719	152.300140
8	147.705750	147.380829	147.441818	146.724777	147.859070	157.554214	157.651871	159.118622	157.975677	156.849838	160.075974	159.303238	158.965210	159.421188	159.459930	161.324982	161.887451	160.878494	161.422302	160.779602	161.069550	161.793152	160.693024	161.305573	162.118103	162.332169	162.631622	162.380157	162.044113	162.541534	159.119278	158.760803	158.449112	158.777069	158.243942	159.249283	158.906540	159.252182	159.268555	158.850021	150.824234	151.209732	152.065170	150.541351	151.660049	151.866043	151.693146	152.332153	151.942871	151.543854	155.757446	156.362610	154.964539	155.362503	155.740372	152.670532	152.227097	152.587494	152.923264	152.008545
9	147.591431	147.220001	146.741379	146.653641	147.560791	157.751343	157.762314	159.364609	158.071152	156.987701	160.244797	159.591583	159.073898	159.565674	159.537827	161.464569	162.016571	160.926834	161.659988	160.910233	161.328949	161.923233	160.888382	161.380020	162.230408	162.464844	162.667282	162.353836	162.088043	162.680801	159.167969	158.820877	158.508652	158.926331	158.235809	159.142090	158.951065	159.185455	159.334122	159.032822	150.567322	150.958603	151.770782	150.279480	151.426971	151.471115	151.346344	152.039246	151.512070	151.210434	155.327942	156.027740	154.593307	155.026840	155.538528	152.414047	152.101135	152.346481	152.681549	151.711456
10	147.352982	146.890121	146.018448	146.509521	147.175720	157.878799	157.784882	159.412247	158.089600	157.095428	160.307663	159.806793	159.072906	159.605652	159.562851	161.641571	162.057419	160.898453	161.840820	161.000458	161.455185	161.899872	161.032211	161.411026	162.249863	162.515594	162.625061	162.259186	162.114731	162.757050	159.017746	158.698318	158.485886	158.934845	158.155960	158.951416	158.900879	158.999786	159.291534	159.039322	150.284836	150.704102	151.476089	150.023148	151.151184	151.107254	151.024124	151.707275	151.118073	150.882217	155.002975	155.656281	154.254456	154.703110	155.426743	152.184967	151.985474	152.091797	152.399078	151.476227
