	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\B\S03_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\B\S03_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\B\S03_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\B\S03_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\B\S03_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WOW\S03_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S03\WW\S03_WW-P-0_G_01.c3d
	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	146.550064	146.640472	146.755722	146.455734	147.793701	155.391525	156.212097	156.010498	155.770889	156.006485	157.606979	158.226898	157.964401	157.985474	157.866180	160.899033	160.435760	159.736359	159.409866	160.077103	160.734375	160.880417	160.202591	160.912598	160.985779	160.569122	161.209915	161.299026	160.890976	161.207108	158.400955	157.826675	159.038437	157.874939	157.675339	158.559769	158.629791	157.980362	159.004196	158.063477	150.830185	150.849854	152.482574	150.903854	151.745453	151.823441	151.895294	151.986847	152.184601	152.045334	156.556580	155.740646	155.406342	155.857193	155.447693	152.540253	152.913620	152.633331	152.720673	152.770752
2	146.854950	146.974167	147.112915	146.702728	148.101929	155.769577	156.354202	156.150650	155.934525	156.075958	157.767960	158.240189	157.875977	158.140594	158.254974	160.885117	160.419250	159.657150	159.335602	159.998337	160.562424	160.734848	159.974472	160.758774	160.929779	160.502975	161.204910	161.217361	160.935165	161.280304	158.300888	157.790405	158.966385	157.723801	157.643753	158.462509	158.565231	157.861557	158.870026	157.807663	150.919662	150.852997	152.541367	150.963303	151.742584	152.035660	152.017181	152.124741	152.484451	152.127609	156.863678	155.935135	155.693253	156.010971	155.678299	152.627182	152.914352	152.632126	152.818970	152.768951
3	147.086304	147.207520	147.390411	146.858368	148.302719	156.056839	156.426575	156.300247	156.081589	156.114792	157.942993	158.234726	157.812286	158.251160	158.567566	160.835983	160.419205	159.602112	159.323578	159.920959	160.403397	160.622040	159.809967	160.654495	160.900482	160.528885	161.225616	161.185425	161.002838	161.370224	158.196167	157.740875	158.870605	157.604889	157.638611	158.386978	158.497971	157.811874	158.728928	157.602844	151.009445	150.904068	152.575089	151.038147	151.760239	152.207092	152.094345	152.232468	152.738937	152.192825	157.121750	156.096817	155.938934	156.128845	155.875961	152.707108	152.906631	152.643036	152.894882	152.755112
4	147.231552	147.336273	147.591080	146.921997	148.388641	156.266510	156.453888	156.465530	156.224731	156.147644	158.124130	158.221222	157.803116	158.339767	158.798599	160.767181	160.455643	159.587753	159.378326	159.863983	160.283661	160.562241	159.725998	160.610382	160.907791	160.644821	161.282089	161.217560	161.095291	161.482437	158.114548	157.698105	158.774979	157.542419	157.667587	158.357895	158.448990	157.836975	158.613937	157.473404	151.101669	150.996292	152.600174	151.123108	151.804611	152.346802	152.142990	152.322571	152.950073	152.250000	157.321487	156.232635	156.134094	156.215515	156.041214	152.782364	152.895935	152.669235	152.955795	152.736603
5	147.308823	147.386749	147.744766	146.921722	148.386887	156.421432	156.469711	156.647507	156.375366	156.188583	158.309418	158.209930	157.855804	158.426605	158.961212	160.697647	160.536758	159.620544	159.491867	159.839188	160.216125	160.562012	159.720184	160.625854	160.955246	160.833557	161.375793	161.312531	161.212006	161.615295	158.072983	157.679276	158.693558	157.542740	157.728638	158.383835	158.430817	157.928482	158.547302	157.426636	151.192734	151.114334	152.626190	151.206772	151.870148	152.463364	152.175400	152.403641	153.118729	152.302841	157.456665	156.349045	156.275879	156.275177	156.170731	152.852951	152.882492	152.710236	153.008118	152.718109
6	147.353607	147.398758	147.884567	146.893234	148.342880	156.543167	156.504715	156.848633	156.538940	156.241791	158.498245	158.209244	157.958801	158.521622	159.076508	160.643188	160.658173	159.697876	159.650650	159.850174	160.200211	160.615860	159.777191	160.690552	161.040268	161.067368	161.499924	161.453094	161.347488	161.757950	158.075775	157.695847	158.630508	157.596573	157.811386	158.460068	158.445221	158.069077	158.535385	157.454849	151.275253	151.241165	152.655136	151.275406	151.944092	152.562714	152.199966	152.479401	153.243668	152.349884	157.523911	156.451263	156.364502	156.310211	156.262756	152.916809	152.863068	152.762955	153.055634	152.702255
7	147.398331	147.405029	148.023148	146.860703	148.296005	156.646942	156.576309	157.075455	156.712967	156.305908	158.688126	158.225739	158.091187	158.624557	159.163589	160.614594	160.807632	159.810593	159.841125	159.894638	160.225769	160.711395	159.874924	160.787659	161.155655	161.314926	161.643066	161.614349	161.490997	161.896576	158.121552	157.753464	158.582413	157.687424	157.901245	158.572372	158.485626	158.238495	158.571045	157.540985	151.340958	151.361069	152.683487	151.316956	152.012894	152.647247	152.221054	152.550079	153.321945	152.386398	157.523865	156.541885	156.400665	156.321533	156.318604	152.971008	152.834030	152.822632	153.100113	152.689819
8	147.456940	147.418930	148.147400	146.832001	148.264099	156.742661	156.685547	157.331512	156.890015	156.376419	158.876724	158.264069	158.232147	158.729599	159.233765	160.617996	160.970825	159.946381	160.051956	159.966736	160.279205	160.833649	159.991211	160.897354	161.289948	161.548584	161.792542	161.775055	161.629074	162.020966	158.207428	157.850052	158.542465	157.799423	157.984558	158.702515	158.541290	158.417801	158.639816	157.666718	151.382996	151.460861	152.704651	151.324036	152.065247	152.715714	152.239761	152.613647	153.350555	152.406769	157.463440	156.620148	156.385452	156.309570	156.340439	153.013290	152.793732	152.883469	153.141861	152.679260
9	147.525146	147.436111	148.230087	146.806564	148.242645	156.836411	156.821259	157.611420	157.062088	156.448318	159.063477	158.325668	158.368149	158.830597	159.290466	160.655411	161.135117	160.092621	160.273956	160.059006	160.348419	160.968887	160.109207	161.000793	161.429764	161.749817	161.937088	161.922516	161.749573	162.126587	158.326263	157.976639	158.504837	157.922256	158.052444	158.833923	158.601120	158.592239	158.725739	157.818359	151.397324	151.530533	152.711197	151.295639	152.092865	152.763733	152.254150	152.666809	153.328323	152.406219	157.355316	156.681747	156.322372	156.274460	156.329681	153.042740	152.743256	152.938858	153.179520	152.666855
10	147.592102	147.447495	148.244583	146.784409	148.216110	156.931671	156.968521	157.903473	157.224167	156.518707	159.248260	158.408951	158.493698	158.924423	159.333435	160.724045	161.291443	160.238754	160.499054	160.163315	160.426193	161.107742	160.219894	161.084900	161.564774	161.910950	162.069031	162.050934	161.844574	162.213364	158.468109	158.122894	158.467224	158.052536	158.102509	158.955475	158.657364	158.752594	158.815262	157.987213	151.383041	151.563980	152.696808	151.236664	152.091034	152.785263	152.259659	152.705750	153.258224	152.380814	157.212814	156.719833	156.218872	156.216278	156.287369	153.059525	152.685410	152.982132	153.209961	152.647659
