	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S04\WOW\S04_WOW-A-R_G_01.c3d
	Right_MLAA_Angle
	DERIVED
	PROCESSED
ITEM	X
1	166.180740
2	165.765961
3	165.342453
4	165.025497
5	164.859497
6	164.824951
7	164.865128
8	164.916641
9	164.933609
10	164.898026
11	164.812500
12	164.686676
13	164.531464
14	164.360016
15	164.186096
16	164.021774
17	163.877029
18	163.757935
19	163.664169
20	163.589981
21	163.526016
22	163.461227
23	163.386841
24	163.299774
25	163.201797
26	163.096680
27	162.987854
28	162.877930
29	162.770737
30	162.670425
31	162.578735
32	162.495575
33	162.420029
34	162.350754
35	162.285324
36	162.218933
37	162.146179
38	162.062897
39	161.963745
40	161.842072
41	161.693848
42	161.520309
43	161.328415
44	161.129013
45	160.931595
46	160.739029
47	160.544571
48	160.333908
49	160.092300
50	159.816208
51	159.516235
52	159.204773
53	158.887985
54	158.571411
55	158.263977
56	157.974335
57	157.711365
58	157.485596
59	157.306152
60	157.172913
61	157.070221
62	156.974152
63	156.866425
64	156.739929
65	156.596252
66	156.441223
67	156.282974
68	156.129929
69	155.986877
70	155.853622
71	155.727600
72	155.606583
73	155.488510
74	155.371307
75	155.252350
76	155.129517
77	155.002167
78	154.871017
79	154.736191
80	154.596924
81	154.452438
82	154.300629
83	154.138672
84	153.963013
85	153.769791
86	153.553787
87	153.308670
88	153.027817
89	152.706833
90	152.347198
91	151.954620
92	151.538193
93	151.108612
94	150.678650
95	150.264435
96	149.886551
97	149.570465
98	149.344849
99	149.235977
100	149.262863
101	149.437180
