	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S04\WOW\S04_WOW-L-R_G_03.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S04\WOW\S04_WOW-L-R_G_03.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S04\WOW\S04_WOW-L-R_G_03.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S04\WOW\S04_WOW-L-R_G_03.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S04\WOW\S04_WOW-L-R_G_03.c3d Copy
	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y
1	3.035491	0.385739	2.608406	-0.674377	1.480919
2	1.561005	-1.032037	1.065793	-2.058503	-0.208991
3	0.074645	-2.261976	-0.372425	-3.315095	-1.772756
4	-1.288882	-3.250048	-1.621344	-4.364943	-3.103296
5	-2.427143	-3.982263	-2.639220	-5.167250	-4.141652
6	-3.290483	-4.479657	-3.420850	-5.720162	-4.879221
7	-3.878278	-4.785910	-3.983433	-6.049732	-5.344283
8	-4.219377	-4.952642	-4.353800	-6.194790	-5.585079
9	-4.354582	-5.026478	-4.561760	-6.198049	-5.656921
10	-4.331121	-5.042724	-4.637461	-6.100609	-5.613656
11	-4.197422	-5.025094	-4.610470	-5.936763	-5.502176
12	-3.996167	-4.987092	-4.510236	-5.733458	-5.358691
13	-3.762802	-4.935895	-4.365417	-5.513013	-5.206905
14	-3.526279	-4.876461	-4.201761	-5.294233	-5.059245
15	-3.307644	-4.813561	-4.039181	-5.092382	-4.921634
16	-3.118372	-4.752767	-3.889373	-4.918948	-4.798844
17	-2.961797	-4.699782	-3.755233	-4.779932	-4.696194
18	-2.837136	-4.657846	-3.634670	-4.675400	-4.617603
19	-2.740966	-4.625934	-3.527102	-4.602508	-4.563338
20	-2.667612	-4.598803	-3.436744	-4.558331	-4.529920
21	-2.612503	-4.569635	-3.369500	-4.540565	-4.511255
22	-2.574148	-4.534918	-3.327509	-4.547575	-4.499715
23	-2.552174	-4.496358	-3.307634	-4.577937	-4.488523
24	-2.543531	-4.457956	-3.303620	-4.629025	-4.473141
25	-2.540354	-4.422234	-3.308154	-4.695827	-4.450543
26	-2.532483	-4.389509	-3.313653	-4.770504	-4.418426
27	-2.513334	-4.358676	-3.313317	-4.841860	-4.374048
28	-2.482404	-4.326948	-3.303651	-4.896260	-4.313437
29	-2.444401	-4.289875	-3.285194	-4.921876	-4.233082
30	-2.406464	-4.242625	-3.260258	-4.913561	-4.132195
31	-2.373950	-4.182128	-3.231759	-4.873290	-4.012806
32	-2.348515	-4.108341	-3.202849	-4.807365	-3.878109
33	-2.329553	-4.023551	-3.175719	-4.723436	-3.731568
34	-2.316041	-3.931589	-3.150864	-4.629191	-3.577713
35	-2.306461	-3.836983	-3.127557	-4.531413	-3.422801
36	-2.299535	-3.743606	-3.104161	-4.435257	-3.272858
37	-2.294983	-3.654101	-3.078409	-4.343812	-3.131172
38	-2.292738	-3.569492	-3.047713	-4.257488	-2.998363
39	-2.292154	-3.489057	-3.009163	-4.175235	-2.873706
40	-2.291138	-3.410886	-2.959924	-4.095906	-2.755673
41	-2.286402	-3.332477	-2.897330	-4.017799	-2.642664
42	-2.274825	-3.250196	-2.819430	-3.936692	-2.533477
43	-2.252843	-3.158572	-2.727008	-3.845818	-2.426285
44	-2.215003	-3.052072	-2.624849	-3.740028	-2.317241
45	-2.156700	-2.928586	-2.519181	-3.618337	-2.200571
46	-2.079031	-2.793285	-2.413775	-3.483621	-2.070779
47	-1.989412	-2.656001	-2.311736	-3.342631	-1.927175
48	-1.898407	-2.524609	-2.219628	-3.202821	-1.776322
49	-1.817665	-2.404155	-2.146105	-3.071426	-1.628953
50	-1.760957	-2.300440	-2.096016	-2.958803	-1.496325
51	-1.741334	-2.219947	-2.065433	-2.876930	-1.388965
52	-1.761945	-2.165528	-2.043740	-2.832035	-1.315594
