	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S05\WW\S05_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S05\WW\S05_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S05\WW\S05_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S05\WW\S05_WW-A-0_G_01.c3d
	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	X	X	X
1	157.896088	156.838181	156.886459	156.982193
2	157.982346	156.775772	156.906357	157.013321
3	158.070129	156.730621	156.942261	157.060471
4	158.130630	156.680038	156.978638	157.097794
5	158.146255	156.609314	157.001740	157.100922
6	158.112732	156.515549	157.002441	157.054886
7	158.033508	156.405426	156.977448	156.956924
8	157.916351	156.290741	156.928299	156.816788
9	157.772110	156.181366	156.859314	156.654938
10	157.614349	156.083511	156.776016	156.497513
11	157.456955	156.003067	156.686401	156.373459
12	157.313873	155.946777	156.602783	156.309036
13	157.200150	155.920013	156.540558	156.317108
14	157.127808	155.922729	156.509705	156.391113
15	157.100067	155.947113	156.510391	156.511566
16	157.108047	155.980042	156.533981	156.659897
17	157.137039	156.007980	156.568558	156.823425
18	157.173935	156.021805	156.603577	156.992279
19	157.209137	156.017349	156.629395	157.156036
20	157.238998	155.995361	156.638580	157.306274
21	157.264771	155.959473	156.629684	157.437469
22	157.289230	155.914108	156.607117	157.545441
23	157.315033	155.864166	156.577530	157.627686
24	157.344406	155.813889	156.548050	157.685760
25	157.376129	155.766266	156.523499	157.724564
26	157.404144	155.722534	156.505280	157.750366
27	157.422272	155.683914	156.492477	157.770065
28	157.428452	155.651917	156.484924	157.788849
29	157.423401	155.626007	156.483902	157.808197
30	157.408051	155.601669	156.491058	157.825470
31	157.383286	155.572342	156.508331	157.836090
32	157.348816	155.531921	156.539093	157.837097
33	157.303055	155.478012	156.585953	157.829758
34	157.245560	155.414810	156.646729	157.818634
35	157.179672	155.347794	156.712143	157.808014
36	157.109924	155.278656	156.768860	157.797028
37	157.039856	155.206375	156.807083	157.780197
38	156.970505	155.131531	156.822449	157.753754
39	156.901031	155.056198	156.813660	157.717819
40	156.830154	154.983902	156.780685	157.673752
41	156.756927	154.918411	156.726608	157.621399
42	156.681732	154.861206	156.659683	157.561203
43	156.606155	154.810562	156.591904	157.495483
44	156.533096	154.763168	156.535065	157.427139
45	156.464188	154.717575	156.498337	157.361557
46	156.399460	154.675964	156.489014	157.305695
47	156.339691	154.644287	156.514313	157.265945
48	156.290070	154.629257	156.579895	157.246857
49	156.258957	154.637115	156.687668	157.251740
50	156.259674	154.670746	156.828018	157.285080
51	156.305664	154.724274	156.969025	157.348053
52	156.395020	154.773575	157.052902	157.431992
53	156.495575	154.774704	157.018921	157.519379
54	156.554962	154.684784	156.840378	157.586197
55	156.523743	154.488968	156.533905	157.598862
56	156.368515	154.212128	156.146744	157.525970
57	156.078201	153.904953	155.738281	157.355682
58	155.669662	153.611008	155.363968	157.095688
59	155.197174	153.355652	155.052658	156.766434
60	154.747116	153.158051	154.799515	156.398300
61	154.391891	153.030151	154.596481	156.034348
62	154.155228	152.963257	154.445892	155.716629
63	154.021301	152.936264	154.341568	155.464493
64	153.956589	152.924942	154.260040	155.269913
65	153.922318	152.904160	154.170395	155.106277
66	153.882263	152.854584	154.049255	154.946152
67	153.811050	152.769836	153.885269	154.771912
68	153.699463	152.653595	153.676453	154.576508
69	153.550659	152.512802	153.430069	154.361984
70	153.375534	152.355072	153.160156	154.138489
71	153.186951	152.185928	152.881699	153.917084
72	152.995743	152.008667	152.607132	153.704376
73	152.808823	151.826904	152.345490	153.501633
74	152.629181	151.646057	152.103409	153.306442
75	152.458908	151.471390	151.885330	153.116241
76	152.299103	151.307007	151.694153	152.929977
77	152.148239	151.156219	151.530579	152.748901
78	152.002487	151.021561	151.389786	152.574203
79	151.858047	150.903870	151.262360	152.405182
80	151.714447	150.802444	151.138885	152.241150
81	151.574448	150.716034	151.013580	152.081390
82	151.440704	150.644089	150.881577	151.924713
83	151.314453	150.585098	150.739456	151.770676
84	151.195602	150.534195	150.589508	151.618561
85	151.084900	150.485703	150.437790	151.467316
86	150.982758	150.436020	150.291809	151.317398
87	150.890518	150.387100	150.157318	151.171707
88	150.811234	150.342560	150.039703	151.035950
89	150.747009	150.302399	149.943085	150.915848
90	150.701157	150.265640	149.871475	150.815765
91	150.677261	150.234940	149.827988	150.738098
92	150.678864	150.218201	149.816956	150.688141
93	150.708466	150.226135	149.843506	150.674026
94	150.771271	150.270844	149.911514	150.705154
95	150.871887	150.362045	150.024689	150.787888
96	151.012695	150.506058	150.186569	150.925323
97	151.194305	150.705536	150.401199	151.118179
98	151.417984	150.964462	150.669861	151.366211
99	151.685074	151.288834	150.992203	151.670059
100	151.995575	151.680481	151.362442	152.030411
101	152.345551	152.133530	151.769897	152.443909
