	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\B\S07_B-0-0_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\B\S07_B-0-0_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\B\S07_B-0-0_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\B\S07_B-0-0_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\B\S07_B-0-0_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WOW\S07_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-A-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-A-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-A-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-A-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-A-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-P-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-P-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-P-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-P-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S07\WW\S07_WW-P-0_G_01.c3d Copy
	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	152.473221	151.880661	151.742203	152.303665	153.115387	154.069458	155.597015	155.138947	155.578537	154.537125	152.648132	152.680145	152.864807	151.487076	151.564713	158.023727	158.153732	156.982269	157.522507	158.188217	156.044510	156.746658	158.141785	157.355545	156.824783	158.070129	159.072296	157.891235	158.229828	157.868332	154.819641	153.020233	154.452377	154.985657	154.120392	157.770050	156.477142	157.942596	157.726929	157.893906	150.200760	150.778305	150.968933	150.938263	151.516571	151.572327	150.779984	150.498840	150.578949	151.673996	150.052292	150.501541	149.747757	151.060165	151.267227	150.730896	150.950897	151.246338	150.672287	150.785889
2	152.433578	151.945694	151.735077	152.359055	153.038544	154.054352	155.602829	155.021515	155.395706	154.839264	152.886932	153.165604	152.805084	151.654984	151.984985	158.167389	158.346848	157.160522	157.705322	158.579727	156.525055	157.124466	158.280579	157.473511	156.978088	158.561813	159.352966	158.290268	158.577606	158.334656	155.071075	153.378113	154.298569	155.057938	154.367279	157.940384	156.973618	158.122147	157.810394	157.971359	150.363632	151.001877	151.348480	151.124039	151.768295	151.730225	150.998077	150.592224	150.810471	151.806534	150.149231	150.609406	149.894485	151.194534	151.421524	150.945282	151.029037	151.366211	150.895523	150.916977
3	152.340454	151.975204	151.740509	152.428055	152.902893	154.046677	155.554977	154.885788	155.174530	155.116531	153.030319	153.583694	152.727722	151.705383	152.311661	158.311050	158.517715	157.348602	157.895279	158.882111	156.947006	157.420441	158.347717	157.552170	157.072433	158.991852	159.551605	158.643051	158.873276	158.765152	155.241394	153.649994	154.151794	155.035049	154.547653	158.018341	157.374466	158.212936	157.860855	157.989883	150.548126	151.202179	151.708252	151.281433	151.967514	151.910263	151.237442	150.695221	151.032272	151.943878	150.270584	150.723953	150.061081	151.375076	151.588547	151.170319	151.133286	151.522308	151.162552	151.087189
4	152.228378	151.977310	151.771439	152.513168	152.752014	154.072510	155.511566	154.803329	154.975403	155.355286	153.115891	153.916794	152.698288	151.675385	152.541107	158.477448	158.686157	157.556381	158.095108	159.114471	157.294571	157.654297	158.372650	157.624786	157.158691	159.357819	159.701752	158.955109	159.123825	159.141968	155.353180	153.829071	154.073608	154.970322	154.670715	158.050323	157.672867	158.270264	157.906082	158.007233	150.749161	151.368210	152.049454	151.403625	152.130463	152.104080	151.484970	150.808395	151.242828	152.080536	150.405548	150.853958	150.243332	151.593155	151.767044	151.397354	151.266510	151.710602	151.462006	151.273010
5	152.146576	151.976044	151.843918	152.616241	152.643570	154.151733	155.518997	154.824295	154.844116	155.550629	153.185440	154.177002	152.751328	151.614868	152.702682	158.667770	158.863068	157.788452	158.308655	159.303528	157.580856	157.862213	158.393845	157.723495	157.274780	159.670090	159.828781	159.241501	159.349030	159.467300	155.438583	153.934982	154.098892	154.915634	154.766342	158.090988	157.903580	158.352020	157.982620	158.077118	150.955902	151.490128	152.364914	151.476471	152.267822	152.294388	151.715622	150.919556	151.421661	152.203720	150.532928	150.996872	150.430420	151.828278	151.949081	151.611023	151.415680	151.919006	151.769241	151.443817
6	152.134872	151.995316	151.966019	152.734116	152.618835	154.291550	155.594543	154.959900	154.799973	155.714569	153.265778	154.392090	152.883835	151.563812	152.834457	158.866333	159.048798	158.038513	158.529572	159.463745	157.830917	158.073685	158.439529	157.857162	157.430649	159.941315	159.941803	159.513824	159.560043	159.752396	155.523529	153.996994	154.229599	154.905334	154.863693	158.178558	158.108765	158.493317	158.114395	158.225113	151.156372	151.558777	152.640869	151.482758	152.381699	152.457565	151.905853	151.013458	151.544495	152.299057	150.631897	151.141052	150.607437	152.054062	152.120010	151.792114	151.564453	152.134476	152.055771	151.573929
7	152.201569	152.043381	152.129257	152.856903	152.674637	154.486099	155.728882	155.187515	154.835297	155.869629	153.363220	154.592316	153.061966	151.543091	152.963852	159.052429	159.237717	158.292435	158.742615	159.596466	158.063858	158.297928	158.519119	158.007904	157.610001	160.179779	160.038452	159.772751	159.751831	160.006500	155.620331	154.041489	154.442825	154.950287	154.976059	158.324539	158.312515	158.699066	158.302338	158.444000	151.340149	151.567932	152.861053	151.410675	152.467682	152.566544	152.041321	151.079605	151.599182	152.354691	150.690323	151.272385	150.760300	152.246201	152.261871	151.923386	151.700104	152.343628	152.298523	151.646851
8	152.317093	152.106323	152.305603	152.966827	152.762939	154.721710	155.899841	155.465027	154.923584	156.033127	153.469772	154.801346	153.237595	151.559052	153.105515	159.209000	159.421478	158.533295	158.931564	159.700348	158.286667	158.523209	158.625320	158.142929	157.782913	160.386734	160.113266	160.008331	159.908432	160.232574	155.730072	154.091782	154.703934	155.042938	155.100235	158.516235	158.516708	158.949936	158.526932	158.703583	151.499390	151.518051	153.010605	151.262192	152.518845	152.595261	152.114426	151.111084	151.585098	152.365112	150.705231	151.377930	150.878632	152.385849	152.359329	151.993820	151.810287	152.531281	152.483093	151.654831
9	152.436157	152.156418	152.458893	153.041855	152.826859	154.982788	156.084457	155.744415	155.030640	156.206192	153.572662	155.029846	153.368195	151.610794	153.263733	159.324417	159.590042	158.746384	159.083420	159.775787	158.496124	158.725418	158.741013	158.229111	157.919327	160.557968	160.164444	160.205826	160.013107	160.428711	155.848999	154.165161	154.976776	155.164795	155.223618	158.727646	158.707077	159.213974	158.754776	158.966019	151.628113	151.418045	153.079102	151.056747	152.527008	152.527985	152.122253	151.101807	151.506165	152.328461	150.677536	151.447678	150.956955	152.459503	152.403137	151.999390	151.880981	152.681061	152.602692	151.600967
10	152.530106	152.171432	152.565628	153.066605	152.833160	155.254501	156.260651	155.981827	155.127228	156.373917	153.659729	155.275635	153.427719	151.694290	153.431931	159.391022	159.730698	158.921463	159.188599	159.823959	158.683456	158.878952	158.847961	158.243195	157.995712	160.687363	160.195023	160.351379	160.053177	160.590042	155.972580	154.265015	155.225876	155.292786	155.332214	158.929703	158.861908	159.455780	158.948547	159.197205	151.722366	151.283997	153.064148	150.827118	152.485199	152.373154	152.070862	151.050812	151.373474	152.242676	150.610123	151.475510	150.994751	152.458923	152.391068	151.941818	151.900513	152.778397	152.655212	151.500244
