	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\B\S07_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\B\S07_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\B\S07_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\B\S07_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\B\S07_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-A-R_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-A-R_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-A-R_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-A-R_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-A-R_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WW\S07_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WW\S07_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WW\S07_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WW\S07_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WW\S07_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WW\S07_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WW\S07_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WW\S07_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WW\S07_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WW\S07_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WW\S07_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WW\S07_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WW\S07_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WW\S07_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WW\S07_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WW\S07_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WW\S07_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WW\S07_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WW\S07_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WW\S07_WW-P-0_G_01.c3d
	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	147.556671	147.452377	147.728165	147.673309	147.470032	144.857590	145.256516	144.783066	144.938049	144.446976	145.599136	145.257660	146.571548	145.890244	145.372131	148.626862	148.739288	148.281555	147.860184	147.928375	147.502716	147.485138	147.101807	147.717499	147.118866	148.722382	148.810516	149.397293	148.792358	148.100037	146.576401	146.796768	146.310791	145.804337	146.306427	146.177109	146.608566	146.177475	144.487762	145.024673	152.014313	151.552628	152.727859	151.611267	151.809814	151.511246	151.642609	151.080872	151.491318	151.231583	149.955994	150.223755	150.297104	150.116333	150.257294	150.655716	151.229172	151.122253	151.733368	151.567062
2	146.980652	147.188828	147.048615	146.825165	146.531342	146.118500	146.241196	146.006699	146.227859	145.571289	146.460297	146.307922	147.689896	146.698380	146.264969	149.022888	149.426865	148.764771	148.715729	148.582748	148.319687	148.395966	147.880341	148.414200	147.817383	149.536469	149.686203	150.163620	149.618805	149.001953	146.981339	147.498581	147.011978	146.487442	147.009430	146.764999	147.222687	147.114929	145.621506	146.104279	152.197601	151.753998	152.923538	151.703766	151.968826	151.624191	151.840683	151.328369	151.701950	151.403625	150.136887	150.755890	150.748352	150.503159	150.571243	150.807068	151.347778	151.319000	151.854828	151.724838
3	145.982788	146.445541	145.984146	145.696533	145.319168	147.015778	146.860687	146.809189	147.189545	146.408813	147.042694	147.076828	148.503708	147.322281	146.922791	149.333069	149.891190	149.033081	149.253174	149.009964	148.816788	148.988403	148.453751	148.843231	148.185776	150.132141	150.263779	150.715027	150.101547	149.650620	147.159393	147.837372	147.482758	146.909790	147.440567	147.079468	147.519913	147.705963	146.469116	146.855850	152.141449	151.661285	152.691376	151.668030	151.841431	151.632645	151.868500	151.523834	151.775970	151.381119	150.261887	150.981552	151.001572	150.675262	150.696609	150.963074	151.404236	151.523132	151.894791	151.848480
4	145.200623	145.650726	145.177216	144.933502	144.444794	147.554276	147.233978	147.208725	147.770660	146.949387	147.418564	147.592499	148.983475	147.855698	147.449570	149.618362	150.175156	149.187866	149.457077	149.251755	149.056488	149.266235	148.897003	149.107758	148.342163	150.566772	150.568069	151.111160	150.341522	150.118973	147.267532	147.936005	147.806412	147.165939	147.655685	147.269073	147.713242	148.080765	147.061920	147.328323	151.861923	151.298447	152.013168	151.424301	151.484818	151.487976	151.774826	151.601303	151.707367	151.236374	150.361832	150.983978	151.086624	150.687393	150.700165	150.985306	151.335968	151.611008	151.790604	151.845901
5	145.042084	145.261917	145.003876	144.837814	144.189148	147.803680	147.501724	147.315308	148.039230	147.280334	147.624496	147.905075	149.125687	148.298721	147.851196	149.908646	150.357574	149.305328	149.437851	149.362274	149.220322	149.386963	149.281845	149.288651	148.435791	150.889374	150.721146	151.357758	150.489532	150.513138	147.392288	147.965668	148.002731	147.340790	147.730835	147.419617	147.894852	148.386536	147.533539	147.657043	151.351288	150.677704	151.034653	150.899017	150.911514	151.208038	151.644943	151.548126	151.537506	151.071121	150.365891	150.792847	151.001328	150.546967	150.591736	150.819672	151.131653	151.508926	151.527725	151.647079
6	145.371490	145.348145	145.303452	145.199539	144.385376	147.766083	147.661057	147.209900	148.058289	147.453506	147.601440	147.996445	148.928253	148.539856	148.051697	150.134018	150.448456	149.384796	149.334366	149.340439	149.377243	149.448502	149.586960	149.388199	148.549957	151.100433	150.793182	151.408936	150.632233	150.799942	147.501389	147.952362	148.021744	147.449066	147.705048	147.482422	148.015076	148.625443	147.947983	147.886856	150.645645	149.910233	150.026810	150.180664	150.182602	150.902161	151.460922	151.417236	151.370361	150.934326	150.215073	150.457748	150.750305	150.319748	150.401108	150.553177	150.879623	151.290466	151.196945	151.322525
7	145.811447	145.636734	145.739426	145.654221	144.752731	147.461365	147.623749	146.925278	147.898392	147.476501	147.318405	147.837463	148.444870	148.480759	147.973953	150.236786	150.396790	149.389313	149.216736	149.192688	149.476868	149.444656	149.768219	149.371414	148.691376	151.189209	150.766403	151.312241	150.751968	150.880081	147.516815	147.838333	147.840073	147.440399	147.576767	147.366577	147.973526	148.707764	148.276001	147.976761	149.908890	149.224258	149.166382	149.446838	149.479996	150.620880	151.195526	151.231277	151.212860	150.791748	149.946808	150.112030	150.420593	150.088989	150.196350	150.283417	150.609863	151.052414	150.879456	150.985870
8	146.150528	145.884308	146.134064	145.998550	145.137878	147.014435	147.407516	146.550919	147.640152	147.387772	146.908401	147.509811	147.858078	148.186798	147.677994	150.264221	150.253479	149.316269	149.109222	149.014801	149.510544	149.364075	149.851028	149.272675	148.831238	151.206299	150.676224	151.182953	150.852158	150.780991	147.419128	147.609940	147.580002	147.300827	147.380341	147.118759	147.769241	148.605469	148.448837	147.893265	149.294678	148.750366	148.495926	148.807373	148.944962	150.375488	150.897522	151.007080	151.007324	150.632736	149.624756	149.829849	150.120544	149.862869	150.020203	150.023178	150.316116	150.816971	150.588379	150.686905
9	146.346100	146.016235	146.427185	146.162537	145.466003	146.562485	147.150085	146.221207	147.360657	147.263245	146.538040	147.140503	147.329803	147.777893	147.312393	150.262985	150.162491	149.231033	149.038910	148.926712	149.529175	149.269089	149.906677	149.179855	148.941681	151.203934	150.609024	151.086411	150.941879	150.640335	147.274033	147.339539	147.388794	147.103470	147.197723	146.865555	147.495193	148.406937	148.459579	147.704727	148.828796	148.477493	148.004471	148.289749	148.569000	150.188217	150.613266	150.768982	150.746933	150.469727	149.275986	149.619537	149.886154	149.642624	149.845688	149.764984	150.063339	150.585693	150.324783	150.444580
10	146.396637	146.036392	146.596100	146.134979	145.693741	146.146317	146.908890	145.978714	147.065094	147.122040	146.255859	146.791885	146.929642	147.313675	146.934387	150.214981	150.180038	149.177719	149.018646	148.919540	149.512344	149.203781	149.939011	149.093353	149.019852	151.149948	150.570511	151.022247	150.992172	150.506378	147.118805	147.065079	147.260544	146.917419	147.040833	146.662460	147.217041	148.165863	148.352036	147.479416	148.475388	148.352966	147.673737	147.913116	148.262589	150.056198	150.360626	150.526199	150.470245	150.308212	148.962006	149.465439	149.709900	149.401718	149.630157	149.521942	149.913010	150.378418	150.095657	150.270996
