	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-A-R_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-A-R_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-A-R_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-A-R_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S08\WOW\S07_WOW-A-R_G_01.c3d Copy
	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	X	X	X	X
1	145.599136	145.764709	147.123642	146.287476	146.205017
2	146.103897	146.316299	147.698975	146.701553	146.589676
3	146.529312	146.775650	148.180878	147.059509	146.922791
4	146.865906	147.147064	148.565506	147.381378	147.220169
5	147.129425	147.444382	148.850662	147.679214	147.486176
6	147.337860	147.677856	149.035385	147.955826	147.716019
7	147.497940	147.851410	149.120544	148.202972	147.898453
8	147.605072	147.961502	149.105301	148.400284	148.018005
9	147.647034	147.998856	148.988724	148.522614	148.059341
10	147.610550	147.957153	148.778412	148.552353	148.015686
11	147.491516	147.842316	148.497482	148.489578	147.897125
12	147.304123	147.674240	148.180740	148.352951	147.728928
13	147.080276	147.478058	147.860748	148.166672	147.537506
14	146.854004	147.273331	147.559738	147.948425	147.338211
15	146.646225	147.070969	147.290894	147.708817	147.135773
16	146.464249	146.877197	147.061813	147.454376	146.930878
17	146.309631	146.697327	146.875122	147.191299	146.724091
18	146.183197	146.536377	146.728745	146.927765	146.517319
19	146.085022	146.398148	146.617615	146.673431	146.315094
20	146.012299	146.284271	146.535721	146.437057	146.124969
21	145.959930	146.193954	146.476730	146.224625	145.954529
22	145.923508	146.124802	146.433685	146.038925	145.807419
23	145.900803	146.072845	146.399704	145.880142	145.682190
24	145.889648	146.032227	146.368927	145.747284	145.574295
25	145.887573	145.996445	146.336044	145.638290	145.479034
26	145.892365	145.960251	146.296387	145.549408	145.391922
27	145.901886	145.920761	146.248062	145.475113	145.309708
28	145.913712	145.876526	146.191711	145.408890	145.230331
29	145.925644	145.827454	146.129242	145.343918	145.152100
30	145.936264	145.774948	146.063171	145.274139	145.073227
31	145.945038	145.721741	145.996765	145.195831	144.992126
32	145.951996	145.671234	145.933243	145.108231	144.907837
33	145.956497	145.626495	145.876068	145.012985	144.820816
34	145.955383	145.590439	145.828308	144.913193	144.733109
35	145.943085	145.564789	145.792053	144.813202	144.646957
36	145.916229	145.548019	145.767914	144.718002	144.563263
37	145.877792	145.533371	145.754990	144.632645	144.480347
38	145.834579	145.510681	145.749496	144.560349	144.392761
39	145.792664	145.472656	145.744675	144.499878	144.292877
40	145.755447	145.419678	145.734070	144.443710	144.176361
41	145.723450	145.358459	145.716202	144.380478	144.044815
42	145.695480	145.294952	145.695145	144.301331	143.902222
43	145.669189	145.231415	145.676651	144.204346	143.750107
44	145.642532	145.167542	145.664886	144.091309	143.585724
45	145.614960	145.102402	145.661942	143.964050	143.404282
46	145.588882	145.035416	145.667145	143.824371	143.201752
47	145.569321	144.965088	145.675888	143.673935	142.977173
48	145.560623	144.884720	145.678375	143.514389	142.733582
49	145.563171	144.777512	145.659042	143.347580	142.475815
50	145.569687	144.619186	145.595886	143.173615	142.209869
51	145.564240	144.394226	145.465668	142.985764	141.942474
52	145.523468	144.104889	145.266464	142.770477	141.673691
53	145.421082	143.766541	145.028412	142.518127	141.394592
54	145.240860	143.403503	144.799149	142.231796	141.101532
55	144.986725	143.043167	144.614059	141.927567	140.807663
56	144.678970	142.701141	144.474930	141.623718	140.530640
57	144.346863	142.380096	144.365860	141.330887	140.276749
58	144.020248	142.080429	144.271301	141.054428	140.043442
59	143.721512	141.797714	144.177490	140.800354	139.825836
60	143.460602	141.521042	144.072800	140.570740	139.619873
61	143.232330	141.237610	143.946869	140.361572	139.420868
62	143.021530	140.939255	143.791397	140.163971	139.221390
63	142.811172	140.626709	143.602753	139.966385	139.014801
64	142.587234	140.305939	143.381638	139.760757	138.797852
65	142.341568	139.983704	143.130539	139.545319	138.569824
66	142.072876	139.666183	142.853271	139.322174	138.331970
67	141.783539	139.356750	142.554352	139.095551	138.088623
68	141.477325	139.056015	142.237122	138.869644	137.844543
69	141.157028	138.762939	141.902969	138.647018	137.603149
70	140.824158	138.475876	141.551163	138.427002	137.365463
71	140.478363	138.191925	141.179932	138.206894	137.131363
72	140.118713	137.908203	140.789185	137.983307	136.900513
73	139.745071	137.622437	140.381241	137.753799	136.672607
74	139.359131	137.333694	139.960281	137.517548	136.447403
75	138.963852	137.042847	139.531723	137.275177	136.224854
76	138.564499	136.751602	139.100830	137.028305	136.005203
77	138.168884	136.461197	138.672150	136.779007	135.789871
78	137.785278	136.172180	138.250107	136.530243	135.581558
79	137.420441	135.884796	137.839325	136.285004	135.382812
80	137.078873	135.601089	137.444427	136.046341	135.195877
81	136.763458	135.324890	137.070267	135.816666	135.021408
82	136.475540	135.061172	136.720657	135.598358	134.858887
83	136.214951	134.814026	136.397583	135.393951	134.707016
84	135.979340	134.585068	136.101242	135.205139	134.563766
85	135.765091	134.374451	135.830139	135.032623	134.426666
86	135.567123	134.181458	135.582916	134.875870	134.293854
87	135.380234	134.005508	135.359268	134.734039	134.164001
88	135.200317	133.846466	135.159546	134.606674	134.036240
89	135.025421	133.704971	134.984360	134.494675	133.910355
90	134.855560	133.581757	134.835022	134.399612	133.787369
91	134.692215	133.478943	134.713699	134.324127	133.669632
92	134.538391	133.399658	134.623871	134.271820	133.561874
93	134.398376	133.348419	134.569626	134.246994	133.471130
94	134.278198	133.330093	134.554672	134.255035	133.406418
95	134.183655	133.349609	134.582123	134.301178	133.377335
96	134.120026	133.412643	134.655014	134.390411	133.392883
97	134.093613	133.525269	134.776260	134.526657	133.461700
98	134.114548	133.689590	134.949356	134.711700	133.589600
99	134.194336	133.903137	135.176712	134.944000	133.776794
100	134.341766	134.159958	135.456970	135.219879	134.018936
101	134.557480	134.452469	135.784393	135.534225	134.309921
