	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S09\WW\S09_WW-A-0_G_02.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S09\WW\S09_WW-A-0_G_02.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S09\WW\S09_WW-A-0_G_02.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S09\WW\S09_WW-A-0_G_02.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S09\WW\S09_WW-A-0_G_02.c3d Copy
	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	X	X	X	X
1	152.388428	152.497971	153.008881	152.342560	152.855911
2	152.482559	152.595016	153.053055	152.446701	152.845474
3	152.477066	152.595428	153.034164	152.492432	152.735947
4	152.362930	152.487610	152.949509	152.464035	152.525024
5	152.137650	152.259094	152.784729	152.334137	152.212524
6	151.817368	151.910416	152.526917	152.074234	151.813080
7	151.445389	151.474579	152.180649	151.680222	151.362045
8	151.078629	151.018265	151.776581	151.196228	150.903458
9	150.757629	150.611298	151.361465	150.706055	150.470322
10	150.490219	150.290436	150.974716	150.289337	150.075836
11	150.258911	150.051163	150.634201	149.985138	149.717957
12	150.037430	149.863434	150.338043	149.784988	149.389557
13	149.807251	149.694366	150.073975	149.647919	149.086700
14	149.565491	149.524200	149.829422	149.528290	148.809280
15	149.320648	149.347244	149.598373	149.397263	148.557190
16	149.083664	149.164917	149.381409	149.246796	148.328003
17	148.862762	148.980408	149.181381	149.081375	148.118225
18	148.662125	148.796494	148.999084	148.908752	147.925095
19	148.482147	148.615845	148.833008	148.735626	147.746063
20	148.320343	148.440460	148.681290	148.566666	147.577988
21	148.172531	148.270813	148.541809	148.403793	147.416916
22	148.034470	148.106232	148.410385	148.246109	147.259048
23	147.902191	147.946381	148.280151	148.092010	147.100967
24	147.771271	147.791733	148.144043	147.940842	146.940063
25	147.637665	147.641708	147.997620	147.792908	146.774368
26	147.499161	147.494385	147.841293	147.648590	146.602600
27	147.355988	147.348206	147.679062	147.507278	146.424591
28	147.209641	147.203140	147.515732	147.367142	146.241608
29	147.061447	147.058929	147.354309	147.224884	146.056091
30	146.911743	146.913834	147.194199	147.076248	145.870850
31	146.760376	146.766052	147.031769	146.918335	145.689087
32	146.606934	146.614334	146.863297	146.750793	145.513535
33	146.451447	146.458023	146.687103	146.575241	145.345856
34	146.294220	146.296829	146.504150	146.394287	145.186676
35	146.135590	146.131058	146.317688	146.211075	145.036392
36	145.975983	145.961563	146.131485	146.028152	144.896042
37	145.817459	145.789795	145.947937	145.846848	144.767319
38	145.663864	145.619019	145.768402	145.668472	144.652344
39	145.520050	145.454391	145.593735	145.495773	144.553833
40	145.391098	145.301086	145.424789	145.332657	144.474472
41	145.280731	145.162521	145.263336	145.183228	144.414856
42	145.189606	145.039474	145.112473	145.051376	144.371124
43	145.114197	144.929733	144.975952	144.939636	144.336502
44	145.047119	144.829147	144.856049	144.847275	144.303787
45	144.979248	144.732162	144.751801	144.769043	144.267395
46	144.902481	144.631149	144.658798	144.695267	144.222672
47	144.809357	144.516388	144.570602	144.610275	144.164383
48	144.693085	144.379532	144.480392	144.490662	144.087296
49	144.550079	144.215988	144.381821	144.307343	143.987091
50	144.383942	144.025375	144.270493	144.030121	143.858429
51	144.208755	143.809692	144.145752	143.638687	143.694962
52	144.051987	143.574310	144.010803	143.154297	143.494873
53	143.952484	143.329102	143.873596	142.650436	143.265366
54	143.944397	143.091766	143.746826	142.203064	143.023193
55	144.034668	142.885925	143.645309	141.855423	142.796585
56	144.195389	142.736557	143.581024	141.625015	142.625336
57	144.377701	142.664154	143.559189	141.517883	142.550018
58	144.535812	142.682098	143.575348	141.538025	142.593674
59	144.643524	142.793381	143.619705	141.686737	142.750717
60	144.693817	142.979202	143.682663	141.954025	142.982803
61	144.692810	143.199051	143.754257	142.304459	143.232529
62	144.656311	143.409271	143.824158	142.674759	143.450546
63	144.602371	143.579987	143.883835	142.998459	143.608353
64	144.543716	143.695129	143.926239	143.232208	143.696701
65	144.484940	143.749527	143.945389	143.363052	143.720978
66	144.425400	143.746246	143.936920	143.402496	143.693619
67	144.362732	143.694000	143.899811	143.373291	143.629089
68	144.294983	143.605499	143.836090	143.298767	143.539993
69	144.222000	143.494598	143.750656	143.198669	143.436478
70	144.145340	143.372635	143.650772	143.086731	143.325806
71	144.067337	143.246597	143.544739	142.971939	143.212692
72	143.990799	143.119827	143.439453	142.859634	143.100189
73	143.917526	142.994766	143.340652	142.753006	142.990707
74	143.848343	142.873245	143.253067	142.654419	142.886368
75	143.783661	142.756836	143.180252	142.565445	142.788635
76	143.723846	142.645981	143.123428	142.485931	142.698746
77	143.669128	142.540985	143.081757	142.414871	142.617523
78	143.619507	142.442612	143.050934	142.351456	142.544632
79	143.575134	142.352066	143.023453	142.296204	142.479782
80	143.536636	142.270996	142.992096	142.250275	142.423462
81	143.505035	142.201385	142.953369	142.215271	142.376633
82	143.480896	142.144699	142.907761	142.192352	142.340958
83	143.464706	142.101318	142.857742	142.181488	142.318481
84	143.456543	142.070557	142.806625	142.182388	142.309677
85	143.456421	142.051529	142.757919	142.194931	142.313065
86	143.465286	142.043610	142.715103	142.219009	142.327271
87	143.484207	142.047089	142.682632	142.253952	142.351318
88	143.513458	142.062958	142.664032	142.298294	142.384079
89	143.552551	142.092300	142.661530	142.350769	142.424316
90	143.599152	142.134933	142.676285	142.411133	142.470734
91	143.649979	142.189774	142.708710	142.478683	142.522675
92	143.702179	142.256683	142.758957	142.552353	142.579163
93	143.755127	142.337433	142.826385	142.631378	142.639877
94	143.809677	142.434082	142.910690	142.715881	142.703964
95	143.865997	142.547165	143.010986	142.806259	142.771561
96	143.923370	142.676010	143.125244	142.902634	142.843155
97	143.981079	142.819672	143.251205	143.004059	142.920593
98	144.039383	142.976669	143.387039	143.110168	143.005829
99	144.098221	143.143890	143.532852	143.222092	143.100571
100	144.157532	143.318344	143.688705	143.341965	143.206207
101	144.218933	143.498260	143.853912	143.472076	143.323669
