	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\B\S10_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\B\S10_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\B\S10_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\B\S10_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\B\S10_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-P-0_G_01.c3d
	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	135.954147	139.116165	137.730652	139.053665	138.633621	146.146210	145.402924	145.302490	144.586472	142.405182	143.945419	145.468460	143.828217	144.539154	144.787354	144.335815	144.638107	145.385727	144.175278	144.706177	146.067093	145.446320	146.877274	146.099701	145.820679	150.954910	151.140610	150.832108	150.353226	150.337753	140.483398	140.720428	141.267105	141.599075	140.904907	145.947708	144.930603	145.212997	146.328293	145.657043	140.800491	140.688919	140.090347	139.821991	140.282059	140.052902	140.602310	141.102310	139.905792	140.047363	139.093384	140.000519	138.510941	138.960526	139.435699	143.394196	141.955505	141.890656	142.376022	143.192963
2	136.189392	138.737656	137.606583	138.798538	138.221054	145.617813	144.955750	145.103729	144.407837	142.245377	143.708878	145.200974	143.496597	143.940018	144.120392	144.109192	144.264420	144.742096	143.776321	144.378204	145.651093	144.952179	146.469818	145.658234	145.560196	151.022705	151.132874	150.746719	150.621811	150.754181	140.347336	140.350830	140.634903	141.225876	141.126236	145.397369	144.966949	145.035065	146.127457	145.276871	141.034988	140.867752	140.241516	139.850128	140.563095	140.266708	140.890549	141.170929	139.927689	140.124542	139.237823	140.371414	138.751602	138.985367	139.794952	143.845932	141.843597	141.865280	142.544449	143.174988
3	136.344589	138.099655	137.216324	138.344879	137.689209	145.583527	144.984039	145.210953	144.592682	142.430237	143.764862	145.217072	143.617279	143.847672	143.802887	144.284485	144.246948	144.454529	143.635483	144.358368	145.611847	144.816040	146.358002	145.681778	145.569611	151.310562	151.411240	150.953293	151.120483	151.239532	140.324753	140.106766	140.226746	140.974304	141.398209	145.264038	145.032608	145.154938	146.070602	145.166885	141.279022	141.116165	140.519272	140.080978	140.959839	140.509827	141.384979	141.273743	140.053177	140.343277	139.491837	140.649353	139.031158	139.058319	140.190140	144.423737	141.986359	141.957352	142.832733	143.255875
4	136.559586	137.710037	136.885239	138.041443	137.375717	145.899078	145.342407	145.504593	145.051910	142.846405	144.131119	145.500473	144.176971	144.293732	143.854218	144.813507	144.532806	144.510696	143.797607	144.615540	145.859421	145.088882	146.497467	146.048721	145.824722	151.713425	151.907013	151.386749	151.772003	151.781830	140.446823	140.076492	140.049133	140.954468	141.719193	145.494446	145.232422	145.624268	146.162033	145.369385	141.460983	141.399582	140.826645	140.335373	141.314026	140.794861	141.912994	141.403915	140.238480	140.575653	139.790314	140.881622	139.339035	139.183716	140.529861	144.958542	142.264557	142.100266	143.172470	143.428421
5	136.870544	137.689209	136.799606	137.967514	137.346573	146.328323	145.812897	145.858765	145.587326	143.346130	144.678406	145.904083	144.966187	145.007370	144.142365	145.463425	144.943832	144.747192	144.130905	144.962097	146.163055	145.568741	146.729218	146.507385	146.152084	152.056686	152.441666	151.848999	152.407883	152.322403	140.657806	140.221878	140.053772	141.105164	142.017731	145.856537	145.491211	146.248215	146.282486	145.693314	141.492249	141.646576	141.059387	140.460693	141.458160	141.152863	142.286911	141.539200	140.430389	140.749832	140.026520	141.015671	139.609161	139.338486	140.729034	145.296432	142.562073	142.244186	143.493362	143.639236
6	137.083252	137.753906	136.841660	137.885437	137.373505	146.744156	146.286423	146.212708	146.086060	143.819351	145.265442	146.302811	145.784744	145.706009	144.564423	146.010696	145.333282	144.995926	144.485962	145.225342	146.390900	146.049728	146.953201	146.874252	146.431717	152.259491	152.876160	152.195343	152.906189	152.779572	140.894714	140.464096	140.212753	141.310242	142.247177	146.184189	145.728134	146.861328	146.331146	145.985443	141.333817	141.786438	141.145325	140.401413	141.341415	141.561966	142.412430	141.649673	140.555023	140.834564	140.104050	140.953629	139.774353	139.460037	140.735977	145.403534	142.810333	142.357224	143.697311	143.817627
7	137.031143	137.643753	136.795868	137.572891	137.240067	147.112503	146.710861	146.565979	146.497940	144.229446	145.796265	146.636719	146.504471	146.252487	145.025711	146.330597	145.621124	145.166550	144.779007	145.330612	146.502716	146.435455	147.123810	147.067429	146.602097	152.359665	153.176987	152.376312	153.240448	153.088654	141.128250	140.738953	140.493347	141.487595	142.416565	146.414261	145.908142	147.386612	146.286835	146.190414	141.008957	141.782883	141.038391	140.142914	141.011139	141.923325	142.279266	141.693100	140.563614	140.833618	140.004242	140.645203	139.807510	139.494644	140.547348	145.323502	142.943253	142.396835	143.710678	143.867096
8	136.741959	137.340729	136.566559	137.037262	136.933975	147.395584	147.047104	146.911133	146.768143	144.579788	146.204819	146.865829	147.038986	146.606613	145.394516	146.400909	145.755264	145.212555	144.963348	145.269699	146.480072	146.682434	147.221634	147.068375	146.626633	152.382004	153.355698	152.404053	153.407791	153.236435	141.335907	140.984543	140.858551	141.579971	142.517136	146.532837	145.986832	147.753098	146.180069	146.291992	140.580261	141.644180	140.744690	139.715637	140.564163	142.139755	141.955734	141.631149	140.485580	140.790558	139.791595	140.158630	139.700592	139.436462	140.207779	145.113571	142.978210	142.343292	143.564011	143.729904
9	136.333099	136.928894	136.201706	136.423538	136.542633	147.523788	147.275528	147.196075	146.867371	144.878830	146.452927	146.948700	147.347107	146.743729	145.561371	146.267868	145.732132	145.128296	145.037415	145.090317	146.343094	146.789307	147.286133	146.924072	146.518890	152.317200	153.394272	152.320602	153.412735	153.234879	141.500381	141.154999	141.263138	141.564789	142.530869	146.568054	145.952545	147.945831	146.064941	146.336853	140.110046	141.394684	140.316681	139.176453	140.117020	142.194534	141.538193	141.447021	140.376648	140.741089	139.540131	139.590439	139.431305	139.293365	139.789154	144.803726	142.950211	142.226562	143.342438	143.461212
10	135.887650	136.448166	135.806702	135.845612	136.106354	147.466232	147.368912	147.356171	146.797104	145.099777	146.523895	146.882278	147.449783	146.706192	145.471497	146.020767	145.591873	144.940262	145.034805	144.869949	146.158997	146.773743	147.378845	146.693130	146.331772	152.176056	153.287796	152.171249	153.252487	153.128326	141.618790	141.254044	141.639709	141.446411	142.476654	146.566238	145.847046	147.990845	145.961105	146.365601	139.660736	141.091919	139.827393	138.615173	139.766647	142.135681	141.119110	141.172165	140.268326	140.689758	139.293823	139.049377	139.034943	139.096573	139.331406	144.410431	142.855103	142.097443	143.107986	143.159927
