	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WW\S10_WW-A-0_G_01.c3d
	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	X	X	X	X
1	140.800491	140.688919	140.090347	139.821991	140.282059
2	140.927109	140.773956	140.155502	139.806168	140.415222
3	141.059357	140.874390	140.262527	139.862473	140.592728
4	141.195389	140.995377	140.408554	139.978271	140.804535
5	141.323166	141.133453	140.577118	140.124008	141.026520
6	141.426376	141.280075	140.747284	140.266449	141.226044
7	141.488983	141.425339	140.901489	140.379257	141.373138
8	141.499512	141.559113	141.026642	140.447250	141.449448
9	141.452194	141.671066	141.111221	140.463379	141.447800
10	141.347092	141.751892	141.145142	140.423203	141.370300
11	141.190033	141.795441	141.121353	140.324081	141.226669
12	140.991409	141.799881	141.037491	140.168167	141.030396
13	140.762634	141.766708	140.897171	139.962036	140.798004
14	140.513504	141.698547	140.708374	139.713486	140.547989
15	140.254471	141.597992	140.481155	139.431641	140.299347
16	139.996887	141.469604	140.227051	139.129959	140.069809
17	139.749939	141.321136	139.959274	138.824631	139.872238
18	139.518585	141.163544	139.690079	138.529449	139.712097
19	139.303101	141.009460	139.429886	138.253235	139.587128
20	139.097839	140.870529	139.185867	138.000870	139.486908
21	138.893005	140.751663	138.962006	137.775024	139.397064
22	138.682663	140.648651	138.762527	137.576782	139.309753
23	138.468277	140.552567	138.591858	137.406189	139.229431
24	138.254639	140.457062	138.449814	137.262756	139.165390
25	138.045593	140.360962	138.331223	137.146149	139.119385
26	137.844238	140.265732	138.229660	137.056152	139.083115
27	137.653214	140.171280	138.140594	136.990677	139.045715
28	137.473740	140.074371	138.060333	136.944122	138.999939
29	137.305923	139.969772	137.982788	136.905243	138.942825
30	137.149384	139.852692	137.899323	136.860718	138.872742
31	137.003998	139.721451	137.806381	136.805038	138.788315
32	136.869537	139.578232	137.708618	136.741669	138.692581
33	136.745743	139.428970	137.613007	136.676254	138.593872
34	136.631790	139.282700	137.524078	136.611710	138.500290
35	136.523712	139.148026	137.445526	136.548233	138.414032
36	136.413651	139.029556	137.379395	136.485718	138.330261
37	136.295471	138.926620	137.324478	136.423920	138.241653
38	136.168167	138.834686	137.277740	136.360550	138.142227
39	136.036118	138.748657	137.237350	136.292542	138.029556
40	135.908463	138.665359	137.204147	136.219482	137.907288
41	135.800140	138.582169	137.180756	136.145233	137.788437
42	135.733200	138.494797	137.170334	136.075882	137.699432
43	135.736420	138.395325	137.174316	136.014664	137.684387
44	135.842911	138.273682	137.189590	135.958633	137.805374
45	136.085831	138.118851	137.208542	135.903061	138.133377
46	136.487839	137.917648	137.221268	135.847153	138.731339
47	137.043747	137.652267	137.217743	135.793533	139.631973
48	137.698120	137.301697	137.187042	135.742844	140.802948
49	138.332352	136.850479	137.117188	135.691116	142.108231
50	138.791153	136.300247	136.995178	135.628540	143.302185
51	138.947311	135.670166	136.808502	135.530853	144.084534
52	138.755173	134.990173	136.547546	135.357422	144.193817
53	138.264633	134.300018	136.210602	135.079788	143.516479
54	137.603775	133.650238	135.810150	134.710480	142.177216
55	136.933777	133.100708	135.372299	134.292664	140.526688
56	136.388535	132.716095	134.927856	133.881424	138.957291
57	136.028061	132.548065	134.504990	133.547012	137.699020
58	135.833374	132.609863	134.133423	133.355087	136.798248
59	135.746735	132.863297	133.848114	133.332214	136.201401
60	135.713333	133.233353	133.671112	133.455399	135.821930
61	135.699722	133.633286	133.597107	133.657379	135.578522
62	135.690552	133.984299	133.606812	133.854340	135.410400
63	135.678604	134.232544	133.679260	133.986893	135.276764
64	135.660217	134.358246	133.789352	134.035416	135.152542
65	135.633011	134.368927	133.904938	134.007584	135.024979
66	135.593628	134.287277	133.992798	133.920975	134.890411
67	135.536697	134.140030	134.029572	133.796112	134.749496
68	135.456726	133.953125	134.007019	133.650909	134.602493
69	135.350891	133.749069	133.929672	133.496445	134.447769
70	135.222260	133.544281	133.810394	133.336899	134.284119
71	135.077927	133.348038	133.666443	133.173859	134.111664
72	134.924454	133.166031	133.516937	133.008667	133.933640
73	134.766998	133.001190	133.377838	132.842804	133.754791
74	134.610535	132.853928	133.257706	132.679840	133.579559
75	134.459167	132.722061	133.158554	132.525238	133.411469
76	134.315750	132.601517	133.080353	132.384659	133.254807
77	134.181976	132.487976	133.020279	132.263245	133.113220
78	134.058731	132.380310	132.971588	132.164917	132.987564
79	133.945221	132.279892	132.927811	132.090576	132.877594
80	133.843201	132.190460	132.888321	132.040115	132.784988
81	133.757751	132.116547	132.855759	132.012299	132.711182
82	133.694672	132.061203	132.833664	132.004288	132.655304
83	133.658203	132.025024	132.824051	132.011108	132.615036
84	133.649811	132.007034	132.827560	132.027603	132.588257
85	133.668091	132.004745	132.844635	132.049957	132.573700
86	133.711868	132.014938	132.876266	132.078140	132.571579
87	133.781372	132.035049	132.924484	132.115967	132.585495
88	133.877258	132.064804	132.989700	132.167496	132.622986
89	134.000748	132.104904	133.071350	132.235641	132.692017
90	134.153732	132.156403	133.169067	132.322159	132.797424
91	134.339096	132.220337	133.283340	132.428268	132.939987
92	134.558487	132.297409	133.415833	132.554932	133.116531
93	134.813110	132.388397	133.569107	132.703400	133.320770
94	135.100983	132.494156	133.745819	132.873001	133.547134
95	135.416885	132.615112	133.947205	133.060684	133.790100
96	135.752045	132.750748	134.173065	133.261551	134.041656
97	136.094284	132.900864	134.419342	133.470322	134.291046
98	136.429611	133.064621	134.678391	133.682571	134.525986
99	136.742706	133.240234	134.940964	133.894531	134.736404
100	137.018204	133.426086	135.198212	134.104538	134.916199
101	137.244583	133.621674	135.442352	134.311523	135.062531
