	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S10\WOW\S10_WOW-A-R_G_01.c3d
	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	X	X	X	X
1	143.945419	145.468460	143.828217	144.539154	144.787354
2	143.782959	145.292664	143.599319	144.145294	144.380234
3	143.696762	145.187592	143.485016	143.884583	144.056412
4	143.712891	145.176071	143.521576	143.813751	143.856339
5	143.837936	145.259262	143.710632	143.943253	143.785706
6	144.056656	145.417419	144.026062	144.234970	143.823959
7	144.341965	145.623260	144.428284	144.627472	143.944336
8	144.665054	145.850601	144.876968	145.057526	144.124512
9	145.000809	146.078781	145.338608	145.474197	144.348267
10	145.330002	146.294556	145.788269	145.847061	144.601471
11	145.637924	146.490524	146.206696	146.162918	144.865234
12	145.911880	146.660645	146.577576	146.416046	145.114746
13	146.141708	146.797699	146.888000	146.599869	145.325409
14	146.321045	146.893784	147.129791	146.708878	145.477707
15	146.445450	146.942612	147.299927	146.746918	145.556168
16	146.511993	146.943222	147.402115	146.729187	145.550781
17	146.521896	146.900436	147.446732	146.675278	145.464951
18	146.482742	146.821793	147.447647	146.602631	145.319366
19	146.408432	146.715332	147.418381	146.524521	145.144989
20	146.316483	146.589676	147.370514	146.449539	144.970413
21	146.222458	146.452515	147.314026	146.380951	144.812958
22	146.133865	146.307404	147.256546	146.314758	144.677658
23	146.050446	146.150253	147.200439	146.242126	144.560471
24	145.967728	145.971817	147.142166	146.155518	144.453003
25	145.880081	145.766678	147.078354	146.054016	144.346954
26	145.783340	145.537781	147.010147	145.944244	144.237595
27	145.676956	145.292496	146.940475	145.834824	144.124130
28	145.564346	145.038544	146.869003	145.731125	144.008224
29	145.450958	144.783279	146.792160	145.634644	143.891937
30	145.342758	144.533966	146.705383	145.544586	143.777664
31	145.244705	144.297195	146.605377	145.457489	143.669098
32	145.159195	144.077225	146.489929	145.366165	143.569977
33	145.084595	143.875809	146.357254	145.264114	143.481033
34	145.016602	143.694519	146.207626	145.151810	143.398422
35	144.950455	143.536697	146.045227	145.034790	143.317917
36	144.882706	143.406097	145.877380	144.916153	143.240677
37	144.812881	143.303650	145.712402	144.794373	143.171738
38	144.742661	143.222626	145.554932	144.665161	143.113937
39	144.675339	143.149673	145.403519	144.525436	143.066483
40	144.613983	143.071930	145.253418	144.375168	143.026413
41	144.559586	142.981537	145.100143	144.216751	142.989594
42	144.510651	142.874863	144.940308	144.054825	142.950531
43	144.464661	142.752289	144.771545	143.895767	142.902557
44	144.419174	142.617142	144.592606	143.747101	142.839432
45	144.372696	142.473297	144.404236	143.614059	142.756363
46	144.325378	142.323822	144.209625	143.495850	142.650681
47	144.278152	142.170563	144.012756	143.387314	142.522049
48	144.232162	142.014709	143.815811	143.282227	142.372406
49	144.188889	141.857300	143.619202	143.174332	142.209457
50	144.148148	141.703064	143.424225	143.056961	142.046768
51	144.103683	141.564606	143.240005	142.923798	141.897720
52	144.045990	141.463516	143.082581	142.778046	141.768738
53	143.973480	141.419754	142.964554	142.636536	141.657288
54	143.887299	141.435196	142.885468	142.518646	141.557709
55	143.783493	141.496582	142.832825	142.434113	141.463882
56	143.664246	141.583069	142.790558	142.377823	141.372299
57	143.542847	141.671829	142.749771	142.339233	141.285645
58	143.433380	141.750351	142.711716	142.316452	141.210068
59	143.344681	141.815369	142.682388	142.315857	141.148819
60	143.278931	141.865799	142.664932	142.335037	141.101440
61	143.232559	141.900467	142.656906	142.358139	141.064056
62	143.199036	141.918640	142.653168	142.369019	141.029373
63	143.172867	141.922058	142.650192	142.361526	140.992020
64	143.150574	141.916199	142.647156	142.339310	140.950180
65	143.130112	141.907761	142.644547	142.308640	140.905518
66	143.109756	141.901245	142.642990	142.275848	140.860977
67	143.089539	141.898743	142.642166	142.244919	140.818359
68	143.070419	141.900375	142.641357	142.217148	140.778015
69	143.053406	141.906250	142.639206	142.192657	140.739975
70	143.039246	141.916458	142.635727	142.171555	140.704498
71	143.028595	141.931046	142.633133	142.154327	140.672531
72	143.022491	141.950073	142.634933	142.141754	140.645691
73	143.022720	141.974716	142.644394	142.134735	140.625793
74	143.032425	142.007446	142.663681	142.134003	140.614594
75	143.054398	142.051010	142.693512	142.140137	140.613388
76	143.089737	142.106522	142.732758	142.154388	140.622208
77	143.136871	142.173096	142.780457	142.178024	140.640335
78	143.192474	142.247787	142.836746	142.212021	140.666611
79	143.251007	142.326828	142.902969	142.256668	140.700058
80	143.308640	142.407822	142.980408	142.311295	140.739563
81	143.363739	142.490753	143.069733	142.374466	140.784256
82	143.416351	142.576935	143.170334	142.444717	140.833710
83	143.469269	142.668152	143.280167	142.522430	140.887894
84	143.526154	142.766510	143.396347	142.608871	140.947144
85	143.592346	142.873199	143.516907	142.706329	141.012833
86	143.673218	142.988846	143.642227	142.817368	141.088211
87	143.774155	143.113892	143.774597	142.945160	141.177155
88	143.899292	143.248444	143.918594	143.092545	141.283600
89	144.050751	143.393005	144.080307	143.261292	141.412018
90	144.228256	143.549393	144.264603	143.451431	141.566025
91	144.430893	143.720047	144.473465	143.664719	141.747421
92	144.658630	143.908218	144.704697	143.904709	141.955215
93	144.910431	144.117065	144.952179	144.175766	142.187576
94	145.183990	144.347717	145.206009	144.480927	142.441818
95	145.474747	144.598694	145.454895	144.818054	142.715057
96	145.775864	144.863251	145.686356	145.177826	143.003677
97	146.078171	145.131805	145.888870	145.544327	143.302429
98	146.370148	145.393799	146.054001	145.897385	143.605576
99	146.641190	145.640228	146.179565	146.214218	143.905609
100	146.883057	145.865570	146.270370	146.476364	144.197601
101	147.093353	146.068771	146.335129	146.674591	144.481232
