	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\B\S11_B-0-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\B\S11_B-0-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\B\S11_B-0-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\B\S11_B-0-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\B\S11_B-0-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-N-nR_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-N-nR_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-N-nR_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-N-nR_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-N-nR_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WOW\S11_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S11\WW\S11_WW-P-0_G_01.c3d
	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	142.332581	141.655792	138.750931	141.204086	143.586960	138.493149	137.862793	138.661652	138.587738	138.084183	143.178375	140.043579	142.118454	141.128418	141.019302	138.057693	137.820923	137.986908	138.139084	137.983856	140.877380	140.290298	140.907974	140.409225	140.219925	140.593704	140.475067	140.133698	140.831650	140.114807	138.188309	138.946213	138.294678	139.309982	137.704788	139.734787	139.783768	140.720581	139.579361	136.056122	140.117386	140.549179	140.710693	140.592361	139.303421	138.583969	139.599670	138.845749	138.890884	138.486511	136.989532	138.962234	137.754929	137.382660	137.603241	140.213928	140.512650	141.023041	140.249680	140.300018
2	142.637772	142.255539	138.787079	141.695343	144.030228	138.524948	138.135040	138.821487	138.516708	138.276154	142.824020	140.622879	142.112656	141.250198	141.351547	138.026871	138.069473	138.196945	138.233490	137.830383	140.971237	140.259613	140.897720	140.221039	140.480453	140.851547	140.845428	140.472656	141.186951	140.313461	138.018982	138.657959	138.236526	138.875031	137.877502	140.116852	139.642502	140.661102	139.634491	136.626953	140.353256	140.896042	140.956055	140.708160	139.523422	139.128693	139.819244	139.271194	139.302567	138.758636	137.553635	139.432053	138.278137	137.635941	137.909485	140.458664	140.810974	141.319382	140.729553	140.538116
3	142.672226	142.665588	138.613739	141.999207	144.237030	138.463165	138.263809	138.831970	138.390244	138.319977	142.413177	140.999298	142.005112	141.134262	141.544708	137.994278	138.251724	138.262619	138.275009	137.686295	141.001038	140.223846	140.856155	140.066772	140.691544	141.102249	141.087540	140.769913	141.476593	140.390839	137.964325	138.458771	138.218124	138.474564	137.948044	140.362610	139.668564	140.587280	139.616669	137.267624	140.545654	141.175217	141.149033	140.776047	139.699051	139.562500	139.964279	139.555283	139.572037	139.002731	137.988312	139.808044	138.703674	137.842133	138.104340	140.608124	141.023087	141.524246	141.041229	140.753937
4	142.430161	142.831085	138.244583	142.104340	144.217712	138.372940	138.274277	138.774506	138.275223	138.268005	142.064316	141.208054	141.884445	140.919312	141.672241	137.994659	138.405533	138.217407	138.310913	137.613663	141.015030	140.227112	140.846756	139.973282	140.894165	141.374496	141.229828	141.023575	141.718475	140.406937	137.997284	138.398727	138.288361	138.187973	137.988052	140.466583	139.849274	140.577225	139.587173	137.899414	140.683563	141.381943	141.278625	140.798599	139.834763	139.886002	140.029312	139.708450	139.718140	139.219147	138.279999	140.047592	138.996063	138.014755	138.205017	140.671432	141.152191	141.629807	141.202560	140.922272
5	141.956924	142.750565	137.765930	142.032761	144.021667	138.313004	138.240952	138.746277	138.221786	138.191910	141.838501	141.341705	141.807114	140.713501	141.809494	138.029984	138.562363	138.119476	138.377319	137.634216	141.044922	140.284836	140.897537	139.934647	141.119644	141.674194	141.318268	141.253922	141.936249	140.418915	138.075165	138.474701	138.458405	138.041641	138.055847	140.492142	140.134872	140.672180	139.587341	138.424271	140.751434	141.503830	141.330109	140.767761	139.921341	140.109375	140.007889	139.741684	139.762253	139.394333	138.437744	140.133545	139.145660	138.160431	138.240280	140.646835	141.192932	141.623886	141.234940	141.012268
6	141.326752	142.463470	137.297989	141.817993	143.703110	138.312195	138.235580	138.810669	138.244659	138.142548	141.739044	141.487915	141.784378	140.568863	142.002441	138.079025	138.730774	138.020248	138.482193	137.731537	141.094666	140.386017	140.996414	139.925583	141.374573	141.984436	141.391769	141.479797	142.141220	140.460983	138.162491	138.647415	138.704788	138.016449	138.175446	140.530411	140.463928	140.861694	139.623383	138.787247	140.738449	141.521347	141.291656	140.678055	139.942688	140.242798	139.898300	139.663208	139.718948	139.508408	138.475601	140.068756	139.160767	138.270996	138.236313	140.523926	141.135162	141.492798	141.149673	140.997086
7	140.619797	142.033737	136.949051	141.497360	143.307083	138.365936	138.286423	138.978073	138.328156	138.130997	141.734116	141.689056	141.794601	140.489731	142.258408	138.115204	138.898071	137.945618	138.607498	137.867325	141.146423	140.505112	141.108002	139.916458	141.643890	142.273499	141.468063	141.704025	142.325623	140.542419	138.241989	138.865707	138.987335	138.070709	138.336548	140.648468	140.782410	141.095535	139.675507	139.007156	140.643417	141.419800	141.160080	140.531784	139.884644	140.294098	139.707001	139.480698	139.594254	139.545654	138.401657	139.869232	139.056686	138.325027	138.207062	140.292892	140.968979	141.231339	140.949707	140.859085
8	139.905899	141.536819	136.778854	141.114700	142.874268	138.447266	138.376755	139.219742	138.442642	138.138000	141.784210	141.939148	141.805374	140.455338	142.553314	138.119400	139.041306	137.896667	138.721298	137.999557	141.177582	140.619171	141.195145	139.886429	141.904922	142.508789	141.547913	141.915375	142.468491	140.653351	138.313278	139.086807	139.268036	138.161240	138.510330	140.861664	141.055099	141.309952	139.716980	139.149445	140.475159	141.201218	140.944717	140.336792	139.740738	140.269577	139.448563	139.207153	139.389862	139.501633	138.218048	139.562378	138.847061	138.298035	138.154037	139.957809	140.693466	140.857132	140.641541	140.597977
9	139.233963	141.042831	136.786514	140.716309	142.444519	138.524506	138.469360	139.492233	138.561829	138.136322	141.861771	142.203674	141.793228	140.441071	142.845123	138.085419	139.139832	137.860733	138.794342	138.095520	141.174744	140.717148	141.233337	139.830154	142.140961	142.668091	141.628036	142.098969	142.544373	140.774551	138.384567	139.285324	139.521118	138.256180	138.666656	141.138397	141.267578	141.454483	139.728149	139.271332	140.249619	140.885941	140.667877	140.102325	139.515259	140.175522	139.145432	138.868881	139.111374	139.380264	137.928345	139.189468	138.545532	138.174500	138.073761	139.547424	140.331009	140.416946	140.249298	140.238480
10	138.629700	140.599014	136.926163	140.338318	142.051025	138.574844	138.534637	139.754745	138.671524	138.107758	141.953995	142.445297	141.750031	140.430618	143.087555	138.019058	139.183014	137.823532	138.812653	138.139038	141.136810	140.797729	141.215424	139.752151	142.346298	142.743729	141.708786	142.243500	142.533615	140.884415	138.463165	139.449509	139.732864	138.336899	138.785004	141.425537	141.421661	141.505020	139.701920	139.383820	139.988388	140.509048	140.363052	139.841919	139.223175	140.021530	138.827698	138.508606	138.775238	139.189941	137.548462	138.800735	138.179550	137.957016	137.964813	139.116180	139.934509	139.972717	139.823349	139.830765
