	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\B\S12_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\B\S12_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\B\S12_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\B\S12_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\B\S12_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-R_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-R_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-R_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-R_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-R_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-P-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-P-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-P-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-P-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-P-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-A-0_G_02.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-A-0_G_02.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-A-0_G_02.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-A-0_G_02.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-A-0_G_02.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new_processing\S12\WOW\S12_WOW-N-nR_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new_processing\S12\WOW\S12_WOW-N-nR_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new_processing\S12\WOW\S12_WOW-N-nR_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new_processing\S12\WOW\S12_WOW-N-nR_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new_processing\S12\WOW\S12_WOW-N-nR_G_02.c3d
	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	155.105652	155.169434	154.597778	155.415970	154.849487	161.265701	161.219009	161.154099	161.005859	161.096451	161.337219	161.120148	161.132629	161.223831	161.450974	163.290833	163.717865	163.608353	163.340195	163.533524	158.939789	159.274078	159.330536	158.804199	159.153320	160.774963	160.560577	160.848328	161.155182	161.027542	160.366043	160.085785	160.207718	159.616837	159.946442	159.499969	159.737747	159.475189	159.272888	159.929459	159.636475	159.593292	159.900391	159.655502	159.788483	159.134659	158.608231	159.972275	159.661667	159.016129	160.799271	160.931519	161.221573	160.519623	161.190140	164.718353	164.629517	164.755600	164.334824	165.084274
2	154.664383	155.173950	154.410416	155.109146	154.700714	161.414017	161.360184	161.252396	161.170532	161.220215	161.589233	161.202484	161.493332	161.389282	161.544571	163.426285	163.553329	163.604218	163.233444	163.380646	158.937836	159.272690	159.417053	158.866852	159.378265	160.886353	160.465012	160.898041	161.076447	160.942535	160.238586	160.166901	160.252228	159.656021	159.843506	159.630875	159.879868	159.622208	159.345367	160.154984	159.646652	159.582336	159.924103	159.656586	159.903259	159.244797	158.655396	160.124405	159.922623	159.234619	160.981308	161.054932	161.173813	160.709671	161.170975	164.737061	164.726318	164.841995	164.403336	165.191055
3	153.999557	155.067596	154.018738	154.540085	154.358887	161.537766	161.559204	161.451111	161.346893	161.430298	161.833527	161.369720	161.815857	161.631210	161.655487	163.501633	163.422836	163.593964	163.158432	163.263885	158.998108	159.280182	159.510742	158.948685	159.650726	161.014175	160.459778	160.939560	161.018280	160.885880	160.184189	160.259689	160.373154	159.768585	159.812332	159.832809	160.013657	159.749680	159.527054	160.204025	159.726761	159.656265	159.978729	159.685196	160.054352	159.381332	158.785400	160.098465	160.112732	159.303513	161.103668	161.102417	161.071671	160.866257	161.091507	164.729675	164.821777	164.896286	164.586060	165.287231
4	153.572174	155.124512	153.872284	154.180984	154.096832	161.737762	161.873901	161.813171	161.640518	161.723312	162.139267	161.679504	162.128601	161.979691	161.923981	163.529602	163.426376	163.626724	163.206680	163.236420	159.183777	159.361115	159.645935	159.119095	159.898026	161.148376	160.612289	161.022385	161.102829	160.974091	160.311172	160.453629	160.627731	160.044189	159.958893	159.970612	160.103195	159.739044	159.690674	160.209869	159.849731	159.699173	160.017471	159.709244	160.210556	159.494827	158.920639	159.948654	160.173309	159.243744	161.159058	161.070618	160.963028	160.954483	160.985550	164.793304	164.969635	164.998718	164.913025	165.428696
5	153.660538	155.438446	154.131012	154.238800	154.077347	162.025070	162.275360	162.252594	162.045074	162.102402	162.465378	162.099121	162.420044	162.358093	162.336945	163.602676	163.547684	163.696518	163.411179	163.304535	159.469009	159.559647	159.844696	159.395233	160.169189	161.351654	160.899673	161.204315	161.325714	161.181717	160.597916	160.768921	160.990768	160.416626	160.278641	159.915314	160.025192	159.542831	159.705200	160.171982	159.912567	159.610229	159.968704	159.670914	160.248932	159.484955	158.969330	159.708786	160.075653	159.143494	161.097809	160.945343	160.817032	160.921722	160.837799	164.934250	165.185181	165.158554	165.340393	165.630219
6	154.064819	155.745773	154.477768	154.440735	154.163956	162.279419	162.590332	162.590973	162.434464	162.445892	162.666428	162.463272	162.592239	162.630676	162.690872	163.714035	163.694794	163.738220	163.675003	163.433472	159.765732	159.818588	160.035721	159.718414	160.429916	161.552673	161.214386	161.390823	161.555450	161.362579	160.914612	161.100052	161.283234	160.708328	160.599106	159.707977	159.743500	159.230621	159.555573	160.032562	159.885864	159.390823	159.808502	159.558075	160.125656	159.383438	158.934875	159.464401	159.899521	159.059891	160.919540	160.762619	160.615799	160.788483	160.659500	165.103012	165.432465	165.308044	165.762161	165.835846
7	154.443939	155.899155	154.642212	154.516907	154.292953	162.396790	162.691666	162.725067	162.708694	162.618774	162.661758	162.607239	162.603256	162.746262	162.813934	163.760147	163.757889	163.712921	163.874634	163.525818	160.011490	160.054703	160.152069	160.013031	160.607941	161.632126	161.466095	161.479935	161.670486	161.413330	161.144623	161.347092	161.393555	160.834839	160.773849	159.451385	159.346878	158.817551	159.322861	159.786209	159.794937	159.118103	159.595276	159.416519	159.898132	159.287048	158.885834	159.241364	159.678238	158.979202	160.721970	160.577667	160.380371	160.583847	160.479126	165.293671	165.670395	165.419495	166.036179	166.015854
8	154.719589	155.943497	154.716751	154.561951	154.496628	162.386932	162.606232	162.705826	162.826828	162.614563	162.516022	162.554047	162.515442	162.735275	162.722412	163.740784	163.716599	163.630203	163.964752	163.529099	160.201660	160.234833	160.177185	160.225739	160.677414	161.598801	161.623825	161.488861	161.667191	161.340790	161.238373	161.492950	161.391968	160.860886	160.794983	159.134552	158.874802	158.322266	159.055130	159.423569	159.611343	158.835236	159.401779	159.253586	159.600647	159.166107	158.830124	159.002945	159.348999	158.845215	160.544510	160.349167	160.110626	160.300690	160.290344	165.475739	165.853775	165.526794	166.096100	166.159546
9	154.889389	155.835327	154.807510	154.660599	154.654892	162.309006	162.448502	162.592651	162.764633	162.504807	162.305542	162.414673	162.374405	162.597321	162.507080	163.713257	163.631241	163.513672	163.988739	163.494553	160.369492	160.365097	160.143921	160.336426	160.679123	161.528900	161.688492	161.491470	161.590607	161.203537	161.245316	161.574600	161.347397	160.832596	160.741638	158.772949	158.346588	157.792999	158.766357	158.948837	159.287216	158.550812	159.237289	159.059799	159.245865	158.915100	158.732285	158.737442	158.918533	158.659729	160.338699	160.069168	159.824249	159.953812	160.080338	165.608139	165.966217	165.658432	165.959946	166.236694
10	154.876633	155.537262	154.863708	154.706635	154.667404	162.170715	162.282074	162.379623	162.562454	162.330963	162.020889	162.204819	162.183548	162.348068	162.235611	163.708466	163.517868	163.374939	163.982498	163.429993	160.521790	160.464508	160.090317	160.323166	160.639893	161.397141	161.608963	161.448883	161.406036	161.035507	161.202560	161.591599	161.267899	160.758301	160.649445	158.402008	157.826843	157.273636	158.476440	158.465988	158.826447	158.259903	159.056213	158.843353	158.850357	158.521378	158.561432	158.449478	158.469101	158.474701	160.087784	159.756958	159.548569	159.569321	159.834686	165.669983	166.003036	165.717407	165.708435	166.182938
