	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\B\S12_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\B\S12_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\B\S12_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\B\S12_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\B\S12_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-R_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-R_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-R_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-R_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-R_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-P-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-P-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-P-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-P-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-P-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-A-0_G_02.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-A-0_G_02.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-A-0_G_02.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-A-0_G_02.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-A-0_G_02.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-L-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-N-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WW\S12_WW-P-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new_processing\S12\WOW\S12_WOW-N-nR_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new_processing\S12\WOW\S12_WOW-N-nR_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new_processing\S12\WOW\S12_WOW-N-nR_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new_processing\S12\WOW\S12_WOW-N-nR_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new_processing\S12\WOW\S12_WOW-N-nR_G_02.c3d
	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	155.105652	155.169434	154.597778	155.415970	154.849487	161.265701	161.219009	161.154099	161.005859	161.096451	161.337219	161.120148	161.132629	161.223831	161.450974	163.290833	163.717865	163.608353	163.340195	163.533524	158.939789	159.274078	159.330536	158.804199	159.153320	160.774963	160.560577	160.848328	161.155182	161.027542	160.366043	160.085785	160.207718	159.616837	159.946442	159.499969	159.737747	159.475189	159.272888	159.929459	159.636475	159.593292	159.900391	159.655502	159.788483	159.134659	158.608231	159.972275	159.661667	159.016129	160.799271	160.931519	161.221573	160.519623	161.190140	164.718353	164.629517	164.755600	164.334824	165.084274
2	154.944092	155.190857	154.551086	155.329941	154.808075	161.356339	161.288956	161.201630	161.100189	161.149567	161.476273	161.156967	161.328583	161.308243	161.507004	163.363968	163.633911	163.607590	163.283585	163.452820	158.934662	159.274094	159.372986	158.837952	159.256500	160.826645	160.502274	160.873520	161.115723	160.984344	160.293045	160.129852	160.221603	159.634811	159.884552	159.558441	159.816299	159.545013	159.291519	160.071960	159.639236	159.574280	159.910538	159.655319	159.847687	159.188858	158.621765	160.079269	159.801056	159.147263	160.897263	161.003616	161.209793	160.620575	161.194778	164.736481	164.683075	164.805573	164.362274	165.143448
3	154.705658	155.178391	154.430740	155.154877	154.716553	161.425323	161.372253	161.266220	161.184891	161.237198	161.611771	161.215759	161.521347	161.409943	161.553711	163.433334	163.544220	163.603241	163.226730	163.373505	158.939835	159.272354	159.425278	158.873566	159.398605	160.900314	160.459518	160.903290	161.065765	160.933151	160.227203	160.174423	160.259674	159.661713	159.835861	159.634430	159.881393	159.617935	159.343582	160.151443	159.645996	159.581985	159.924576	159.657028	159.904724	159.245285	158.655762	160.124588	159.923538	159.240875	160.980072	161.054596	161.170456	160.711746	161.170731	164.736252	164.735840	164.846329	164.412247	165.199509
4	154.405685	155.131317	154.251190	154.911057	154.572723	161.489563	161.471100	161.364395	161.274765	161.347275	161.742569	161.300186	161.698395	161.536011	161.607712	163.481094	163.465149	163.595718	163.178955	163.304611	158.964859	159.273300	159.475571	158.914230	159.548370	160.972504	160.445908	160.926224	161.026077	160.893646	160.186661	160.220612	160.317413	159.712143	159.808823	159.734467	159.948257	159.689133	159.424896	160.188507	159.673187	159.613449	159.949615	159.669235	159.974609	159.310318	158.713364	160.127670	160.029663	159.292389	161.047760	161.087036	161.118240	160.795486	161.133926	164.728973	164.786316	164.874710	164.497833	165.250351
5	154.088379	155.077713	154.061478	154.644150	154.402298	161.568542	161.596924	161.511429	161.390945	161.478302	161.884155	161.424072	161.866058	161.695297	161.697754	163.505722	163.415848	163.595184	163.155945	163.256897	159.023376	159.287903	159.528534	158.974442	159.687042	161.038055	160.474747	160.949677	161.022675	160.890060	160.193954	160.285706	160.406784	159.807205	159.824249	159.840897	160.016785	159.744995	159.521942	160.202988	159.722153	159.654938	159.980179	159.687851	160.058487	159.382492	158.786636	160.097748	160.113815	159.302505	161.102097	161.102325	161.064087	160.869461	161.090790	164.732956	164.846344	164.905289	164.626770	165.306595
6	153.810272	155.055069	153.919144	154.406082	154.242844	161.676071	161.759888	161.710403	161.548553	161.636215	162.050232	161.596039	162.034912	161.888062	161.847092	163.519089	163.407928	163.610474	163.172028	163.235260	159.123413	159.329788	159.598816	159.066986	159.818207	161.109756	160.553986	160.993240	161.071899	160.937408	160.263504	160.388535	160.541183	159.955551	159.901459	159.927872	160.074478	159.768631	159.615723	160.208633	159.783279	159.688995	160.006180	159.704041	160.144348	159.450073	158.861130	160.036957	160.164658	159.277649	161.141220	161.098114	161.009415	160.925934	161.041550	164.762772	164.927032	164.955399	164.797653	165.380920
7	153.620132	155.092133	153.865601	154.238586	154.126236	161.816299	161.959061	161.946320	161.747467	161.824921	162.234528	161.810898	162.204834	162.101013	162.053680	163.537460	163.440125	163.641907	163.235596	163.240631	159.260345	159.408524	159.692856	159.194778	159.954620	161.202927	160.681305	161.071014	161.172241	161.031555	160.390991	160.534119	160.719589	160.146515	160.042007	159.973312	160.103973	159.747620	159.686600	160.210281	159.843246	159.699478	160.017593	159.708908	160.214645	159.495529	158.921829	159.946182	160.172989	159.230728	161.158890	161.071548	160.949692	160.955536	160.984070	164.820450	165.030823	165.028641	165.003693	165.477066
8	153.545731	155.196838	153.913437	154.163406	154.068344	161.977768	162.177612	162.190643	161.972763	162.036118	162.413712	162.048721	162.363770	162.309921	162.289658	163.574081	163.502380	163.680862	163.343643	163.272354	159.420227	159.522949	159.802505	159.351944	160.100616	161.318909	160.842117	161.176910	161.305038	161.150803	160.556931	160.711136	160.921219	160.353653	160.224716	159.964523	160.087967	159.679352	159.719925	160.203827	159.888901	159.676224	160.005386	159.695023	160.252243	159.506836	158.958893	159.831482	160.139160	159.177353	161.147491	161.021255	160.878311	160.952240	160.915512	164.897156	165.152847	165.114899	165.235046	165.588226
9	153.588715	155.351639	154.044754	154.177933	154.064667	162.136276	162.385071	162.410965	162.200455	162.246094	162.561752	162.277435	162.493622	162.489868	162.515289	163.630142	163.581314	163.714966	163.479904	163.327240	159.587448	159.660675	159.914444	159.527145	160.249329	161.441391	161.016434	161.289383	161.443542	161.267502	160.737015	160.899139	161.112381	160.544113	160.416397	159.902359	160.015961	159.571945	159.708893	160.181564	159.911270	159.615448	159.963318	159.658432	160.246429	159.483795	158.969284	159.704697	160.073227	159.127365	161.102020	160.948029	160.790726	160.917160	160.835083	164.982773	165.286362	165.201752	165.475494	165.703384
10	153.725281	155.521133	154.218918	154.255478	154.094421	162.267349	162.550140	162.580063	162.407654	162.425354	162.657593	162.461090	162.578873	162.624191	162.690872	163.691376	163.661133	163.735641	163.622284	163.396072	159.748093	159.804749	160.016190	159.706543	160.388824	161.545731	161.187256	161.386597	161.562256	161.357880	160.908691	161.077560	161.261795	160.691742	160.584839	159.802002	159.889832	159.437103	159.655136	160.136154	159.910278	159.520248	159.891312	159.601868	160.197479	159.436798	158.957428	159.578384	159.988800	159.083252	161.025146	160.859177	160.688126	160.857071	160.746735	165.074066	165.424179	165.281311	165.701492	165.814102
