	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S12\WOW\S12_WOW-L-nR_G_01.c3d Copy
	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y
1	0.061291	-0.538646	-0.611369	-1.201877	-0.439252
2	-1.090768	-1.763357	-1.723396	-2.449300	-1.722263
3	-2.111577	-2.825418	-2.708922	-3.490716	-2.863569
4	-2.940413	-3.655101	-3.507306	-4.268599	-3.787160
5	-3.553363	-4.229216	-4.094905	-4.770686	-4.459654
6	-3.960337	-4.566472	-4.479094	-5.024035	-4.889770
7	-4.195313	-4.714423	-4.688613	-5.082829	-5.119301
8	-4.301283	-4.733335	-4.764153	-5.012272	-5.204477
9	-4.320123	-4.679824	-4.750733	-4.870955	-5.199447
10	-4.287668	-4.595528	-4.689843	-4.701671	-5.150187
11	-4.228880	-4.506197	-4.611932	-4.531607	-5.091189
12	-4.157973	-4.425684	-4.534276	-4.374348	-5.040194
13	-4.081457	-4.358577	-4.463000	-4.232662	-4.998467
14	-4.001198	-4.302202	-4.396335	-4.103734	-4.959085
15	-3.917568	-4.249436	-4.329610	-3.983145	-4.913157
16	-3.830687	-4.192705	-4.259073	-3.866717	-4.852710
17	-3.741703	-4.128776	-4.184716	-3.753379	-4.775674
18	-3.655821	-4.060341	-4.111639	-3.647333	-4.687836
19	-3.582054	-3.994477	-4.048104	-3.557614	-4.599888
20	-3.528725	-3.939100	-4.001729	-3.494656	-4.522994
21	-3.500020	-3.899824	-3.977662	-3.465968	-4.466300
22	-3.495274	-3.879771	-3.978159	-3.473782	-4.435869
23	-3.511347	-3.880408	-4.001822	-3.515929	-4.432967
24	-3.544778	-3.900246	-4.043289	-3.587627	-4.452860
25	-3.593121	-3.933750	-4.095496	-3.682100	-4.487715
26	-3.654283	-3.973632	-4.151914	-3.790730	-4.529955
27	-3.725462	-4.014099	-4.206740	-3.904303	-4.573513
28	-3.803608	-4.051520	-4.255058	-4.015386	-4.614306
29	-3.886107	-4.083922	-4.293857	-4.119206	-4.649424
30	-3.970774	-4.109726	-4.322142	-4.212845	-4.676022
31	-4.055316	-4.126539	-4.339372	-4.294122	-4.691996
32	-4.135470	-4.132234	-4.344887	-4.361257	-4.697272
33	-4.203878	-4.126272	-4.339704	-4.413355	-4.693299
34	-4.253599	-4.109842	-4.326977	-4.451482	-4.681206
35	-4.282542	-4.085483	-4.311174	-4.478539	-4.661749
36	-4.295036	-4.056874	-4.297737	-4.497695	-4.636621
37	-4.299797	-4.028412	-4.289570	-4.510921	-4.609144
38	-4.304726	-4.004268	-4.284940	-4.519928	-4.583949
39	-4.312770	-3.987906	-4.281206	-4.528406	-4.565498
40	-4.322896	-3.981424	-4.277984	-4.542265	-4.555814
41	-4.332710	-3.986448	-4.275902	-4.567598	-4.555139
42	-4.338865	-4.003875	-4.272357	-4.606412	-4.562566
43	-4.336576	-4.030883	-4.257064	-4.653111	-4.574906
44	-4.318354	-4.058808	-4.213379	-4.694355	-4.585252
45	-4.274198	-4.073385	-4.127451	-4.712754	-4.581763
46	-4.195961	-4.058950	-3.997678	-4.693971	-4.548542
47	-4.084504	-4.004861	-3.838581	-4.631134	-4.471540
48	-3.953762	-3.910471	-3.678646	-4.527905	-4.348805
49	-3.824483	-3.788006	-3.552517	-4.402124	-4.195193
50	-3.715733	-3.659636	-3.490112	-4.282669	-4.037142
51	-3.643277	-3.550315	-3.509264	-4.200616	-3.905581
52	-3.621687	-3.483809	-3.612306	-4.182292	-3.830686
