	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S13\WOW\S13_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S13\WOW\S13_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S13\WOW\S13_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S13\WOW\S13_WOW-A-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S13\WOW\S13_WOW-A-nR_G_01.c3d
	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	X	X	X	X
1	152.270172	151.657684	151.879456	151.143082	151.771118
2	152.372742	151.841293	151.806396	151.544846	151.753235
3	152.417587	151.920975	151.778198	151.842026	151.689667
4	152.470413	151.983490	151.857651	152.066330	151.685318
5	152.585724	152.104919	152.048508	152.282043	151.801834
6	152.776749	152.311646	152.305099	152.533981	152.028656
7	153.016510	152.578445	152.568268	152.824753	152.305374
8	153.261276	152.854767	152.796310	153.128952	152.567017
9	153.476440	153.097809	152.973068	153.421783	152.776154
10	153.648132	153.285873	153.099930	153.693237	152.925400
11	153.776840	153.413467	153.186768	153.943161	153.024445
12	153.866928	153.486572	153.247116	154.173737	153.088242
13	153.926498	153.522339	153.296188	154.385223	153.133698
14	153.970596	153.546661	153.350601	154.575806	153.181335
15	154.020248	153.588165	153.422546	154.745499	153.252090
16	154.090698	153.667618	153.511154	154.897675	153.354965
17	154.177200	153.784836	153.604645	155.030518	153.477798
18	154.256622	153.919418	153.690033	155.130203	153.595459
19	154.307953	154.047577	153.762268	155.180786	153.687515
20	154.328934	154.157089	153.824234	155.180099	153.745819
21	154.331924	154.247314	153.879425	155.142227	153.768616
22	154.328140	154.322021	153.927902	155.086487	153.754913
23	154.319946	154.384033	153.965881	155.025070	153.705780
24	154.302536	154.431656	153.986801	154.960144	153.629562
25	154.268463	154.458710	153.984497	154.888901	153.536850
26	154.211166	154.456711	153.954575	154.808762	153.434540
27	154.127457	154.417801	153.894272	154.719604	153.326538
28	154.018280	154.339279	153.802429	154.622208	153.214752
29	153.888062	154.226669	153.681564	154.518005	153.100693
30	153.744781	154.093002	153.540176	154.410873	152.986160
31	153.599289	153.955673	153.390060	154.307938	152.873627
32	153.463318	153.831100	153.242584	154.217636	152.768677
33	153.345688	153.728363	153.106064	154.145905	152.678391
34	153.249344	153.647507	152.982803	154.094421	152.605591
35	153.171082	153.582169	152.868378	154.059937	152.545731
36	153.103958	153.523117	152.755096	154.036041	152.489319
37	153.039948	153.461197	152.636108	154.014648	152.424881
38	152.970291	153.389359	152.506073	153.987457	152.340942
39	152.885422	153.301636	152.359314	153.946014	152.228561
40	152.777390	153.190826	152.189453	153.883194	152.082642
41	152.641235	153.050674	151.991791	153.794327	151.901413
42	152.474899	152.877655	151.765732	153.678055	151.685684
43	152.279480	152.671005	151.515182	153.535477	151.440582
44	152.059906	152.434265	151.248993	153.371918	151.175308
45	151.824890	152.175903	150.981018	153.196091	150.901855
46	151.585281	151.906708	150.725281	153.017792	150.633667
47	151.352097	151.635925	150.491821	152.844589	150.382339
48	151.133545	151.367401	150.283737	152.680511	150.152939
49	150.931870	151.100281	150.093582	152.525467	149.943176
50	150.742615	150.829880	149.899261	152.376541	149.742325
51	150.552139	150.545578	149.671402	152.227005	149.532715
52	150.339050	150.232010	149.390076	152.061676	149.300110
53	150.089462	149.881897	149.059341	151.858688	149.038971
54	149.805450	149.507309	148.708389	151.603378	148.748474
55	149.499771	149.133408	148.376831	151.297562	148.435303
56	149.193161	148.783371	148.089905	150.955307	148.113251
57	148.904190	148.467987	147.845200	150.595093	147.795074
58	148.634781	148.182251	147.630264	150.234634	147.486969
59	148.378723	147.916275	147.444565	149.887680	147.197342
60	148.135635	147.668701	147.294769	149.562836	146.932831
61	147.905899	147.441299	147.177307	149.261902	146.689545
62	147.683151	147.228363	147.077454	148.982666	146.462082
63	147.459473	147.018661	146.974319	148.720856	146.245346
64	147.226883	146.802383	146.847794	148.469055	146.031235
65	146.980423	146.576721	146.688965	148.218628	145.813400
66	146.721588	146.344391	146.500168	147.964798	145.590134
67	146.457001	146.110306	146.290314	147.709091	145.362579
68	146.194427	145.880005	146.068619	147.457382	145.131561
69	145.939575	145.657440	145.841431	147.214554	144.898331
70	145.696274	145.443832	145.611542	146.982483	144.664841
71	145.465805	145.237167	145.380676	146.760483	144.433319
72	145.246841	145.035385	145.150391	146.546738	144.205170
73	145.035599	144.837341	144.923233	146.338455	143.982025
74	144.828690	144.642624	144.701385	146.133087	143.765457
75	144.624191	144.452026	144.485413	145.929108	143.556152
76	144.422195	144.266220	144.274658	145.726974	143.354202
77	144.223389	144.086899	144.068970	145.529160	143.160248
78	144.027878	143.915863	143.869995	145.338257	142.974396
79	143.836670	143.754578	143.680405	145.156082	142.797272
80	143.651917	143.602997	143.502808	144.982697	142.630463
81	143.476044	143.460266	143.339233	144.817245	142.474640
82	143.312302	143.325790	143.191132	144.658737	142.329620
83	143.163177	143.198761	143.059174	144.508102	142.196259
84	143.030029	143.080215	142.942566	144.366470	142.075745
85	142.913208	142.972931	142.840897	144.235779	141.970993
86	142.813248	142.880646	142.753616	144.117844	141.886002
87	142.731125	142.806671	142.681641	144.015381	141.824677
88	142.667358	142.753510	142.627380	143.931229	141.789246
89	142.624329	142.722321	142.593857	143.867691	141.779968
90	142.605713	142.714676	142.585281	143.826752	141.796982
91	142.616119	142.733948	142.605286	143.810211	141.841339
92	142.659210	142.784897	142.657379	143.820633	141.915833
93	142.739044	142.872498	142.743729	143.860931	142.022202
94	142.858551	143.000092	142.865326	143.935272	142.161942
95	143.019440	143.169327	143.022293	144.047256	142.339447
96	143.224136	143.379395	143.214569	144.198792	142.559830
97	143.475143	143.628891	143.442917	144.390839	142.824738
98	143.769485	143.914078	143.704224	144.625381	143.128387
99	144.094788	144.226730	143.990753	144.904831	143.458084
100	144.430206	144.552750	144.290283	145.226501	143.794876
101	144.751160	144.874557	144.588791	145.580063	144.119019
