	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\B\S14_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\B\S14_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\B\S14_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\B\S14_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\B\S14_B-0-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-A-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-A-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-A-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-A-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-A-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-A-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-L-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-N-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-P-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-P-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WW\S14_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WW\S14_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WW\S14_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WW\S14_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WW\S14_WW-A-0_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WW\S14_WW-L-0_G_03.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WW\S14_WW-L-0_G_03.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WW\S14_WW-L-0_G_03.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WW\S14_WW-L-0_G_03.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WW\S14_WW-L-0_G_03.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WW\S14_WW-N-0_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WW\S14_WW-N-0_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WW\S14_WW-N-0_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WW\S14_WW-N-0_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WW\S14_WW-N-0_G_02.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WW\S14_WW-P-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WW\S14_WW-P-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WW\S14_WW-P-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WW\S14_WW-P-0_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WW\S14_WW-P-0_G_01.c3d Copy
	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1	148.260391	147.941956	147.942551	148.672119	148.030151	153.170151	153.320038	152.318375	153.029419	152.930573	152.648102	152.336426	153.801743	152.762817	153.437546	154.367798	155.281998	155.199799	155.402481	155.362198	158.525909	158.048996	158.293610	157.422302	158.390060	154.806671	153.527435	154.917648	153.573669	153.728409	155.135880	155.814438	155.682205	156.252060	155.834229	157.299088	158.232101	159.120392	158.285004	157.526505	152.894135	152.282684	152.598679	151.846573	152.309402	153.741776	154.728226	154.498032	154.432175	154.073944	152.910019	152.519318	152.442123	152.285690	152.336258	154.309845	154.345367	154.296768	154.401291	154.149261
2	148.132294	148.190857	147.897812	148.716797	148.157822	154.114227	153.913406	153.449127	153.847855	153.702438	153.125900	153.169571	154.320221	153.456024	153.988220	154.853821	155.743546	155.534760	155.927063	155.935532	158.917923	158.319016	158.598541	157.666046	158.658081	156.123535	155.281494	156.323288	155.040298	155.319199	155.564056	156.039307	155.717148	156.492996	156.080399	157.819824	158.407623	159.038147	158.424286	157.838303	153.258942	152.779037	152.912918	151.958450	152.623474	154.174118	155.032654	154.836777	154.568939	154.221664	153.396255	152.840164	152.605011	152.523224	152.543091	154.444824	154.836411	154.480728	154.308090	154.348755
3	147.896347	148.227585	147.743652	148.609482	148.042664	154.561356	154.298172	154.240250	154.218994	154.221313	153.321747	153.664886	154.350998	153.917923	154.167862	155.133163	155.936310	155.695709	156.224960	156.217346	159.104233	158.496338	158.666473	157.864075	158.807755	156.813263	156.477325	157.056824	156.021423	156.358139	155.847153	156.042114	155.615387	156.451508	156.078262	158.204224	158.357758	158.711105	158.393311	158.033020	153.402466	152.990768	153.035324	151.945374	152.697021	154.440063	155.108093	154.884140	154.493271	154.221680	153.448837	152.855255	152.488647	152.464264	152.437759	154.295593	154.976776	154.365402	154.048157	154.408844
4	147.646423	148.019409	147.520508	148.396332	147.705795	154.494736	154.387970	154.533600	154.269196	154.394485	153.267868	153.755478	154.026505	154.026794	154.036758	155.253754	155.990814	155.758270	156.348633	156.294220	159.185226	158.590012	158.633484	158.028931	158.928940	157.048615	157.062958	157.333847	156.527878	156.900681	155.900635	155.945969	155.530121	156.350616	155.996567	158.473297	158.255646	158.423431	158.314682	158.158676	153.346359	152.947998	152.967819	151.885193	152.556534	154.448944	154.885712	154.614059	154.152374	154.047668	153.100708	152.611725	152.138641	152.174469	152.083878	153.888962	154.738220	153.970291	153.611099	154.291290
5	147.393661	147.675644	147.263733	148.126495	147.276306	154.135376	154.270187	154.478531	154.162277	154.320496	153.048065	153.560059	153.545578	153.884186	153.728775	155.226624	155.960739	155.714386	156.319336	156.265015	159.156815	158.538605	158.522705	158.105042	158.953735	157.004044	157.184021	157.329224	156.710556	157.095917	155.792587	155.810928	155.434601	156.234558	155.864166	158.654068	158.121185	158.222275	158.205154	158.239410	153.081924	152.695297	152.732956	151.779068	152.227493	154.124405	154.356140	154.050919	153.564560	153.679962	152.500702	152.176910	151.626480	151.743286	151.598251	153.323059	154.169205	153.448288	153.080002	153.974243
6	147.144363	147.273849	147.017807	147.825439	146.867355	153.605515	153.998093	154.220184	153.921524	154.061157	152.688217	153.172043	152.955063	153.592941	153.291168	155.037933	155.818848	155.540085	156.141800	156.155334	158.951935	158.291779	158.281387	158.027710	158.797165	156.745300	156.956909	157.072296	156.668823	157.020142	155.615509	155.649643	155.280182	156.060577	155.651794	158.718185	157.887573	158.056931	158.014542	158.213593	152.671310	152.355530	152.418884	151.605865	151.815643	153.499435	153.684219	153.338806	152.877655	153.115646	151.875595	151.628067	151.065567	151.290314	151.133499	152.786728	153.468079	152.976852	152.607285	153.533432
7	146.968781	146.883179	146.859360	147.539871	146.572617	152.976730	153.599442	153.802612	153.526352	153.664825	152.220474	152.650589	152.276932	153.186035	152.759155	154.711075	155.574875	155.271072	155.861053	155.973648	158.569122	157.873566	157.893707	157.778336	158.469498	156.303421	156.463425	156.588760	156.432541	156.716278	155.400650	155.480591	155.100967	155.829468	155.388504	158.661407	157.536438	157.865662	157.723709	158.064392	152.272003	152.062531	152.130737	151.371094	151.487274	152.756317	153.095673	152.637573	152.246735	152.449005	151.332138	151.083511	150.556137	150.883865	150.742126	152.408752	152.912155	152.627075	152.259964	153.124817
8	146.909668	146.561142	146.789948	147.323349	146.406540	152.348083	153.165192	153.283386	153.023941	153.245102	151.764420	152.103821	151.633011	152.716965	152.242371	154.311722	155.277008	154.994156	155.567047	155.788727	158.104782	157.399185	157.418701	157.421768	158.093323	155.742035	155.842850	155.999146	156.038513	156.273407	155.155731	155.359253	154.970917	155.611572	155.154861	158.515488	157.132782	157.629272	157.398636	157.892624	151.981522	151.839447	151.880798	151.163391	151.328506	152.081329	152.660400	152.047409	151.727661	151.838593	150.872055	150.631439	150.135162	150.507782	150.381424	152.170746	152.607285	152.391052	151.990372	152.827866
9	146.908005	146.290924	146.723480	147.161880	146.286804	151.809021	152.856003	152.793732	152.559311	152.937546	151.445023	151.689651	151.132507	152.334503	151.852127	153.942581	154.995682	154.808914	155.394150	155.694824	157.703812	157.034164	156.990952	157.093781	157.832611	155.195084	155.257538	155.441940	155.579437	155.819626	154.954147	155.336838	154.940155	155.509064	155.012543	158.361313	156.829559	157.423630	157.184402	157.805771	151.787201	151.659149	151.645569	151.053391	151.286835	151.545334	152.310333	151.587067	151.317917	151.355103	150.491669	150.269791	149.803589	150.173187	150.016388	152.008087	152.479126	152.236206	151.778915	152.609589
10	146.878784	146.020340	146.588516	147.002686	146.129959	151.428650	152.770462	152.496048	152.260941	152.736115	151.247711	151.450607	150.754745	152.142120	151.600586	153.713287	154.820465	154.718719	155.406372	155.733109	157.446869	156.836746	156.718597	156.870438	157.725250	154.781006	154.773636	154.978561	155.158234	155.416092	154.912308	155.377472	154.987000	155.541840	154.955154	158.292633	156.678101	157.332962	157.140778	157.774292	151.643097	151.530045	151.452026	151.013550	151.274094	151.151001	151.990921	151.253143	150.988861	151.005219	150.198975	149.984909	149.546112	149.878876	149.670792	151.870407	152.422119	152.126556	151.641098	152.421509
