	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-A-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-A-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-A-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-A-nR_G_01.c3d Copy	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S14\WOW\S14_WOW-A-nR_G_01.c3d Copy
	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle	Right_MLAA_Angle
	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	X	X	X	X
1	154.004837	153.843048	153.720779	153.424805	153.273911
2	154.367523	154.110550	154.143661	153.840286	153.687592
3	154.554047	154.289993	154.407776	154.105270	154.021606
4	154.578049	154.376648	154.527481	154.237473	154.246094
5	154.480560	154.385788	154.538025	154.275436	154.364410
6	154.301285	154.335815	154.471893	154.254120	154.396744
7	154.063156	154.237366	154.347000	154.191391	154.360825
8	153.776688	154.093674	154.170242	154.088394	154.266251
9	153.451920	153.907410	153.945847	153.938736	154.118622
10	153.104050	153.686188	153.681808	153.738312	153.925049
11	152.750488	153.445206	153.392960	153.490723	153.698257
12	152.407455	153.207657	153.101639	153.209351	153.459564
13	152.089310	153.002869	152.837372	152.918594	153.237045
14	151.809021	152.857758	152.630173	152.652527	153.052582
15	151.577835	152.783447	152.496048	152.439026	152.909241
16	151.400787	152.772171	152.428940	152.282898	152.795715
17	151.275024	152.804443	152.410126	152.169647	152.698883
18	151.193283	152.858765	152.420670	152.081833	152.610367
19	151.148468	152.919144	152.444946	152.009399	152.525024
20	151.131546	152.975922	152.469482	151.950455	152.438507
21	151.127777	153.023956	152.483078	151.903671	152.347702
22	151.120071	153.061081	152.478668	151.863724	152.251495
23	151.094788	153.086166	152.454895	151.824280	152.152405
24	151.044418	153.097336	152.414307	151.781448	152.056671
25	150.968658	153.091187	152.359421	151.731720	151.969101
26	150.871094	153.063660	152.290146	151.671143	151.890030
27	150.753281	153.011902	152.204651	151.597626	151.817673
28	150.613678	152.934937	152.100662	151.511566	151.750946
29	150.451080	152.834991	151.977509	151.413544	151.689407
30	150.267624	152.718536	151.837097	151.303116	151.631638
31	150.069717	152.594360	151.684601	151.178055	151.575790
32	149.867233	152.470581	151.527954	151.036713	151.520615
33	149.669632	152.352127	151.375732	150.879990	151.464523
34	149.483170	152.240402	151.233536	150.710632	151.405304
35	149.310501	152.135803	151.102936	150.533600	151.340439
36	149.151428	152.040833	150.982864	150.355453	151.270065
37	149.002792	151.959290	150.871872	150.181900	151.198044
38	148.861145	151.894684	150.769821	150.016251	151.130127
39	148.724228	151.849319	150.678253	149.858826	151.072021
40	148.591217	151.823410	150.600052	149.708435	151.026474
41	148.462570	151.815552	150.538452	149.563904	150.991806
42	148.339081	151.822433	150.494690	149.424332	150.962631
43	148.220810	151.839966	150.466766	149.289322	150.931580
44	148.107437	151.863861	150.449829	149.159134	150.890076
45	147.998856	151.890244	150.437958	149.033081	150.829910
46	147.895889	151.916962	150.426468	148.908096	150.744888
47	147.800186	151.942245	150.412613	148.779373	150.630676
48	147.713486	151.960098	150.395370	148.640396	150.482422
49	147.635986	151.956909	150.372757	148.483185	150.292236
50	147.562622	151.908234	150.335983	148.293060	150.048203
51	147.479156	151.784821	150.257629	148.044113	149.734528
52	147.364059	151.572144	150.091431	147.705429	149.337967
53	147.200729	151.277878	149.803436	147.256241	148.860306
54	146.986328	150.926041	149.404083	146.710785	148.322205
55	146.737289	150.554092	148.937851	146.125763	147.761398
56	146.482224	150.200928	148.459137	145.573715	147.226990
57	146.246872	149.897797	148.018051	145.111252	146.765915
58	146.046951	149.668182	147.654709	144.775543	146.409454
59	145.890839	149.518524	147.401886	144.589645	146.172379
60	145.781647	149.431244	147.269791	144.542648	146.059433
61	145.717087	149.379623	147.234100	144.582626	146.059967
62	145.690186	149.339249	147.251663	144.650742	146.140594
63	145.684784	149.286804	147.279800	144.705353	146.255066
64	145.677612	149.206497	147.291306	144.730392	146.364120
65	145.651611	149.095047	147.276489	144.727081	146.444809
66	145.600067	148.958847	147.235977	144.700714	146.487045
67	145.524582	148.806778	147.173538	144.656754	146.488510
68	145.431717	148.645874	147.092178	144.599289	146.453445
69	145.329880	148.481155	146.991302	144.531937	146.389862
70	145.225555	148.318146	146.868195	144.459442	146.308395
71	145.121155	148.162903	146.722504	144.385849	146.219727
72	145.018066	148.018921	146.556274	144.311234	146.128662
73	144.918564	147.885269	146.373779	144.231522	146.034088
74	144.825897	147.758240	146.182877	144.141846	145.933929
75	144.741913	147.634567	145.994278	144.039856	145.829758
76	144.667206	147.511459	145.816559	143.925980	145.725601
77	144.601837	147.387024	145.654877	143.801071	145.623779
78	144.545517	147.260178	145.512268	143.667236	145.522079
79	144.498230	147.129303	145.389267	143.530899	145.416687
80	144.460968	146.994064	145.284241	143.402435	145.307617
81	144.432877	146.855469	145.195816	143.292587	145.199905
82	144.411224	146.714127	145.122299	143.207230	145.100922
83	144.392944	146.570267	145.060745	143.143387	145.014801
84	144.375671	146.426147	145.006256	143.088303	144.939499
85	144.358749	146.285614	144.950470	143.021393	144.867935
86	144.342880	146.152679	144.882278	142.919556	144.790939
87	144.328537	146.028046	144.788345	142.761841	144.699768
88	144.314529	145.905502	144.651520	142.528458	144.585999
89	144.297699	145.771667	144.449219	142.203903	144.438950
90	144.272034	145.605484	144.156815	141.783142	144.245712
91	144.227188	145.379715	143.756760	141.273163	143.994217
92	144.147675	145.064438	143.247116	140.692215	143.675491
93	144.014542	144.635696	142.642914	140.073288	143.285751
94	143.806793	144.082962	141.978180	139.459549	142.830429
95	143.503128	143.414185	141.303101	138.895798	142.326096
96	143.089661	142.657364	140.672501	138.419815	141.802811
97	142.568909	141.862625	140.130173	138.057892	141.300613
98	141.969696	141.097916	139.704773	137.824371	140.859299
99	141.346542	140.430817	139.412231	137.722656	140.508667
100	140.768463	139.910385	139.259628	137.748413	140.265579
101	140.300888	139.565063	139.250412	137.896881	140.140747
