	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S15\WOW\S15_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S15\WOW\S15_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S15\WOW\S15_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S15\WOW\S15_WOW-L-nR_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S15\WOW\S15_WOW-L-nR_G_01.c3d
	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y
1	2.366110	1.590811	1.590769	0.511092	0.886160
2	1.102783	0.262019	0.577402	-0.731619	-0.296821
3	-0.210677	-1.039206	-0.445640	-1.889643	-1.442050
4	-1.462403	-2.206489	-1.392635	-2.883308	-2.458738
5	-2.557301	-3.163012	-2.193545	-3.665846	-3.282867
6	-3.436629	-3.878645	-2.809483	-4.228057	-3.886569
7	-4.084282	-4.369559	-3.237312	-4.592878	-4.277586
8	-4.520388	-4.681198	-3.502276	-4.802526	-4.490077
9	-4.786436	-4.866207	-3.643883	-4.903826	-4.570240
10	-4.928632	-4.967688	-3.702066	-4.937753	-4.562057
11	-4.985682	-5.012823	-3.708447	-4.935482	-4.499727
12	-4.984427	-5.015482	-3.683963	-4.917570	-4.407030
13	-4.941308	-4.981465	-3.640584	-4.894414	-4.299251
14	-4.864890	-4.913344	-3.584641	-4.869196	-4.185831
15	-4.758635	-4.814837	-3.520047	-4.841488	-4.072895
16	-4.624741	-4.692718	-3.450695	-4.810022	-3.965202
17	-4.468648	-4.556308	-3.381857	-4.774649	-3.867360
18	-4.301151	-4.416754	-3.319654	-4.737150	-3.783966
19	-4.136697	-4.286010	-3.269349	-4.700895	-3.718892
20	-3.989314	-4.174656	-3.233592	-4.668760	-3.674204
21	-3.868634	-4.088445	-3.211877	-4.641619	-3.649128
22	-3.777891	-4.026313	-3.200176	-4.619091	-3.639630
23	-3.714484	-3.982199	-3.191353	-4.599930	-3.639095
24	-3.671680	-3.948400	-3.177209	-4.581345	-3.639845
25	-3.640729	-3.918203	-3.151287	-4.559447	-3.634871
26	-3.613384	-3.887288	-3.111418	-4.531064	-3.619553
27	-3.583797	-3.853882	-3.060192	-4.495094	-3.593288
28	-3.549060	-3.818022	-3.003488	-4.452602	-3.559433
29	-3.508966	-3.780457	-2.948156	-4.406098	-3.523547
30	-3.465137	-3.741760	-2.899412	-4.358634	-3.490833
31	-3.420084	-3.702935	-2.860526	-4.312871	-3.464069
32	-3.376588	-3.666193	-2.832972	-4.270655	-3.443864
33	-3.337440	-3.634242	-2.817034	-4.233247	-3.430374
34	-3.305351	-3.609307	-2.812428	-4.201241	-3.423832
35	-3.283306	-3.592977	-2.818483	-4.174097	-3.424180
36	-3.274593	-3.586912	-2.834338	-4.150655	-3.431857
37	-3.281363	-3.592660	-2.859070	-4.130297	-3.447482
38	-3.302913	-3.609538	-2.891078	-4.112952	-3.470226
39	-3.335594	-3.633840	-2.927358	-4.097797	-3.497828
40	-3.374714	-3.660246	-2.963816	-4.082053	-3.527923
41	-3.416067	-3.682816	-2.996524	-4.061076	-3.558177
42	-3.455754	-3.696084	-3.022447	-4.030175	-3.586543
43	-3.489416	-3.695799	-3.039366	-3.986051	-3.610420
44	-3.512921	-3.679358	-3.046077	-3.927296	-3.627354
45	-3.524888	-3.648501	-3.043028	-3.856136	-3.636250
46	-3.530059	-3.611112	-3.034063	-3.781089	-3.639378
47	-3.538950	-3.578649	-3.026668	-3.714734	-3.644936
48	-3.563496	-3.561951	-3.028069	-3.665400	-3.664981
49	-3.612947	-3.567624	-3.043471	-3.633693	-3.709146
50	-3.690519	-3.595986	-3.077239	-3.615995	-3.781365
51	-3.791547	-3.641852	-3.130437	-3.606854	-3.878362
52	-3.906387	-3.697951	-3.197550	-3.600540	-3.989950
53	-4.026371	-3.758026	-3.270396	-3.593492	-4.104322
