	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S16\WOW\S16_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S16\WOW\S16_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S16\WOW\S16_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S16\WOW\S16_WOW-L-R_G_01.c3d	Z:\Projects\CMB_innosuisse_shoe_oa\project_only\Multi-segment foot marker set project\Data\V3D_new processing\S16\WOW\S16_WOW-L-R_G_01.c3d
	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle	Right_HFSHK_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y
1	-1.347893	-2.374415	-1.368106	-2.113104	-1.115256
2	-2.319047	-3.254613	-2.173925	-2.885723	-2.181911
3	-3.133021	-3.974699	-2.877074	-3.535126	-3.096112
4	-3.753711	-4.515502	-3.450414	-4.034826	-3.827578
5	-4.167959	-4.869234	-3.882278	-4.363830	-4.363777
6	-4.381748	-5.038187	-4.168256	-4.510392	-4.704354
7	-4.415719	-5.037022	-4.310060	-4.478961	-4.858883
8	-4.302015	-4.893145	-4.319673	-4.293823	-4.845716
9	-4.083905	-4.644449	-4.219207	-3.996283	-4.691842
10	-3.812463	-4.335270	-4.034575	-3.636652	-4.432887
11	-3.535856	-4.009628	-3.793572	-3.264991	-4.108251
12	-3.288702	-3.705802	-3.528461	-2.925458	-3.756505
13	-3.092268	-3.452355	-3.273859	-2.651137	-3.415125
14	-2.959218	-3.263823	-3.057434	-2.458590	-3.117526
15	-2.894207	-3.140694	-2.892733	-2.348724	-2.886617
16	-2.891436	-3.071525	-2.782172	-2.310216	-2.730048
17	-2.933958	-3.038274	-2.721872	-2.322626	-2.641787
18	-2.999286	-3.024136	-2.703914	-2.363079	-2.608166
19	-3.068902	-3.017141	-2.718534	-2.415628	-2.613316
20	-3.130202	-3.011980	-2.753051	-2.471121	-2.643408
21	-3.172536	-3.009540	-2.793800	-2.524070	-2.688400
22	-3.188342	-3.011980	-2.830919	-2.573332	-2.740447
23	-3.177875	-3.020139	-2.859626	-2.620818	-2.792409
24	-3.148895	-3.034660	-2.878997	-2.666812	-2.839103
25	-3.110112	-3.056467	-2.889006	-2.707393	-2.879367
26	-3.066715	-3.085332	-2.888390	-2.736786	-2.914240
27	-3.020639	-3.118867	-2.875871	-2.749751	-2.943982
28	-2.971510	-3.152524	-2.851801	-2.742568	-2.967752
29	-2.918838	-3.181177	-2.818377	-2.715140	-2.983566
30	-2.862481	-3.199467	-2.778565	-2.671044	-2.988658
31	-2.803530	-3.201301	-2.734994	-2.615713	-2.982038
32	-2.744944	-3.181399	-2.688761	-2.554471	-2.964950
33	-2.688999	-3.138964	-2.638497	-2.491258	-2.937947
34	-2.637207	-3.078334	-2.581583	-2.429156	-2.897786
35	-2.590335	-3.006429	-2.516135	-2.369963	-2.841661
36	-2.546317	-2.931812	-2.440790	-2.312937	-2.773962
37	-2.501558	-2.864241	-2.355683	-2.256422	-2.704163
38	-2.452653	-2.811375	-2.265598	-2.200623	-2.640838
39	-2.397610	-2.774782	-2.179364	-2.146800	-2.590282
40	-2.337103	-2.750003	-2.103991	-2.094109	-2.555208
41	-2.271487	-2.729316	-2.040538	-2.038559	-2.532871
42	-2.198842	-2.705578	-1.983607	-1.975382	-2.516300
43	-2.115859	-2.674467	-1.923157	-1.901156	-2.496515
44	-2.018323	-2.632452	-1.848552	-1.812735	-2.465450
45	-1.900701	-2.573548	-1.752389	-1.705666	-2.418434
46	-1.757446	-2.490270	-1.630631	-1.577370	-2.352517
47	-1.586392	-2.376577	-1.482860	-1.432392	-2.264769
48	-1.389876	-2.232208	-1.314369	-1.279434	-2.153292
49	-1.175275	-2.064285	-1.136103	-1.126053	-2.022446
50	-0.955246	-1.884931	-0.961778	-0.979507	-1.883750
51	-0.745757	-1.710222	-0.810195	-0.849569	-1.751186
52	-0.563711	-1.558335	-0.702986	-0.750062	-1.639800
